"x_pixel","y_pixel","total_population","h3index_lvl11","f_0","f_1","f_10","f_15","f_20","f_25","f_30","f_35","f_40","f_45","f_5","f_50","f_55","f_60","f_65","f_70","f_75","f_80","m_0","m_1","m_10","m_15","m_20","m_25","m_30","m_35","m_40","m_45","m_5","m_50","m_55","m_60","m_65","m_70","m_75","m_80","h3index_lvl3","geometry"
"11234","26994","518.21313","8b60145b335dfff","3.688997","14.110405","15.211257","18.125862","26.075151","30.11401","24.763119","21.138306","15.871095","14.661038","15.005102","12.614054","10.601717","7.9407315","5.84718","3.4949284","2.5677533",,"4.053138","15.530159","16.74142","19.304695","29.521904","33.93737","31.072033","25.426094","18.770452","16.088573","16.49486","12.796651","11.400038","8.39567","6.051235","3.407336","2.4199388","2.1351807","836014fffffffff","POLYGON ((77.54791637154999 13.005416815650001, 77.54791637154999 13.006250148980001, 77.54708303822 13.006250148980001, 77.54708303822 13.005416815650001, 77.54791637154999 13.005416815650001))"
"11217","26991","562.28735","8b6014586634fff","4.0027475","15.3105","16.50498","19.667473","28.292852","32.675217","26.869232","22.936127","17.220938","15.907965","16.281292","13.686884","11.503397","8.616094","6.344485","3.7921734","2.7861416",,"4.3978586","16.851006","18.165285","20.946566","32.032753","36.823753","33.71472","27.588593","20.366888","17.456913","17.897755","13.885011","12.369615","9.109725","6.5658946","3.6971312","2.6257555","2.3167787","836014fffffffff","POLYGON ((77.53374970493999 13.007916815640002, 77.53374970493999 13.008750148970002, 77.53291637161 13.008750148970002, 77.53291637161 13.007916815640002, 77.53374970493999 13.007916815640002))"
"11223","26980","525.52435","8b6014595b8afff","3.7410433","14.309482","15.425865","18.38159","26.443033","30.538874","25.11249","21.436535","16.095013","14.867884","15.216802","12.79202","10.751291","8.052763","5.9296746","3.5442367","2.6039803",,"4.1103215","15.749267","16.977617","19.577055","29.938414","34.416176","31.510412","25.784819","19.035276","16.31556","16.727577","12.977192","11.560875","8.51412","6.136609","3.4554086","2.4540806","2.1653051","836014fffffffff","POLYGON ((77.53874970492 13.01708348227, 77.53874970492 13.0179168156, 77.53791637159 13.0179168156, 77.53791637159 13.01708348227, 77.53874970492 13.01708348227))"
"11208","26993","520.78253","8b6014582900fff","3.7072878","14.180367","15.286677","18.215733","26.204435","30.26332","24.885899","21.243113","15.949787","14.73373","15.0795","12.676597","10.654283","7.980103","5.876171","3.5122569","2.5804846",,"4.0732336","15.607161","16.824429","19.400412","29.668278","34.105637","31.226093","25.55216","18.863522","16.168344","16.576645","12.860099","11.456561","8.437297","6.0812383","3.4242303","2.4319375","2.1457675","836014fffffffff","POLYGON ((77.52624970497 13.006250148980001, 77.52624970497 13.007083482310001, 77.52541637164 13.007083482310001, 77.52541637164 13.006250148980001, 77.52624970497 13.006250148980001))"
"11251","26993","528.13696","8b60145b3c6bfff","3.7596416","14.380621","15.502554","18.472973","26.574492","30.690695","25.237335","21.543106","16.175028","14.941798","15.292452","12.855614","10.804741","8.092797","5.9591537","3.5618565","2.616926",,"4.1307554","15.827563","17.062021","19.674381","30.08725","34.587273","31.667065","25.913006","19.12991","16.396671","16.810738","13.041708","11.618349","8.556448","6.1671166","3.4725869","2.466281","2.1760697","836014fffffffff","POLYGON ((77.56208303816 13.006250148980001, 77.56208303816 13.007083482310001, 77.56124970483 13.007083482310001, 77.56124970483 13.006250148980001, 77.56208303816 13.006250148980001))"
"11248","26966","514.964","8b6014594063fff","3.6658676","14.0219345","15.115884","18.012215","25.911661","29.925198","24.607857","21.00577","15.7715845","14.569115","14.911022","12.534965","10.535245","7.890944","5.8105187","3.4730155","2.5516536",,"4.0277247","15.432787","16.636454","19.183657","29.336803","33.724586","30.877214","25.266674","18.652765","15.9877","16.39144","12.716417","11.32856","8.34303","6.013294","3.3859725","2.404766","2.1217935","836014fffffffff","POLYGON ((77.55958303816999 13.028750148890001, 77.55958303816999 13.029583482220001, 77.55874970484 13.029583482220001, 77.55874970484 13.028750148890001, 77.55958303816999 13.028750148890001))"
"11274","26981","203.33064","8b60145b2181fff","1.4474472","5.536482","5.968422","7.1120214","10.231074","11.815797","9.716274","8.29401","6.2273216","5.7525334","5.887533","4.9493604","4.1597824","3.115695","2.2942507","1.3713007","1.0075061",,"1.5903245","6.0935493","6.5688105","7.574559","11.583472","13.315963","12.191695","9.976404","7.3649397","6.3126535","6.472068","5.021006","4.4730186","3.2941985","2.3743155","1.3369322","0.9495084","0.8377783","836014fffffffff","POLYGON ((77.58124970475 13.01625014894, 77.58124970475 13.01708348227, 77.58041637142 13.01708348227, 77.58041637142 13.01625014894, 77.58124970475 13.01625014894))"
"11267","26996","509.06427","8b60145b04d8fff","3.6238692","13.861291","14.942708","17.805857","25.614803","29.582357","24.325935","20.765116","15.590897","14.402203","14.740192","12.391357","10.414548","7.800541","5.74395","3.4332266","2.5224204",,"3.981581","15.25598","16.445858","18.963877","29.000706","33.33822","30.523468","24.977205","18.439068","15.804536","16.20365","12.57073","11.198773","8.247447","5.9444027","3.3471808","2.3772156","2.097485","836014fffffffff","POLYGON ((77.57541637143999 13.003750148990001, 77.57541637143999 13.004583482320001, 77.57458303810999 13.004583482320001, 77.57458303810999 13.003750148990001, 77.57541637143999 13.003750148990001))"
"11225","27028","536.2992","8b6014584c21fff","3.8177462","14.60287","15.742143","18.758469","26.985195","31.165012","25.627373","21.876049","16.425009","15.17272","15.528792","13.054295","10.971725","8.21787","6.051251","3.6169043","2.6573699",,"4.1945953","16.072174","17.32571","19.978445","30.552242","35.12181","32.15647","26.313484","19.425558","16.650078","17.070543","13.243264","11.797908","8.688685","6.262428","3.526255","2.5043967","2.2097003","836014fffffffff","POLYGON ((77.54041637158 12.97708348243, 77.54041637158 12.97791681576, 77.53958303825 12.97791681576, 77.53958303825 12.97708348243, 77.54041637158 12.97708348243))"
"11223","26990","533.108","8b60145864e5fff","3.7950287","14.515976","15.648469","18.646847","26.824621","30.979567","25.474878","21.745876","16.327272","15.082436","15.436389","12.976616","10.906439","8.168969","6.0152435","3.595382","2.6415572",,"4.169636","15.976538","17.222614","19.859564","30.370441","34.91282","31.965126","26.156908","19.309967","16.551003","16.968967","13.164461","11.727705","8.636984","6.225164","3.5052722","2.4894943","2.1965516","836014fffffffff","POLYGON ((77.53874970492 13.008750148970002, 77.53874970492 13.009583482300002, 77.53791637159 13.009583482300002, 77.53791637159 13.008750148970002, 77.53874970492 13.008750148970002))"
"11268","27003","554.57904","8b60145b0465fff","3.9478745","15.100611","16.278715","19.397854","27.90499","32.227276","26.500885","22.621698","16.984858","15.689885","16.058094","13.499252","11.345698","8.497977","6.257509","3.740187","2.7479467",,"4.3375688","16.619997","17.91626","20.659412","31.59362","36.318943","33.25253","27.210384","20.08768","17.2176","17.652397","13.694663","12.200042","8.98484","6.475884","3.646448","2.5897596","2.2850184","836014fffffffff","POLYGON ((77.57624970476999 12.99791681568, 77.57624970476999 12.99875014901, 77.57541637144 12.99875014901, 77.57541637144 12.99791681568, 77.57624970476999 12.99791681568))"
"11265","26975","156.51402","8b60145b275afff","1.1141744","4.261714","4.5942006","5.474488","7.8753824","9.095224","7.4791145","6.384325","4.793489","4.42802","4.531936","3.8097768","3.201998","2.3983102","1.7660024","1.0555605","0.77552915",,"1.2241544","4.6905174","5.05635","5.8305264","8.916393","10.24998","9.384573","7.6793504","5.669172","4.8591733","4.9818826","3.8649256","3.4431117","2.5357134","1.8276324","1.0291053","0.7308853","0.6448809","836014fffffffff","POLYGON ((77.57374970477998 13.02125014892, 77.57374970477998 13.02208348225, 77.57291637144999 13.02208348225, 77.57291637144999 13.02125014892, 77.57374970477998 13.02125014892))"
"11243","26986","489.60068","8b60145b372cfff","3.485314","13.331318","14.3713875","17.125065","24.635445","28.451303","23.395857","19.971182","14.994794","13.851548","14.176616","11.917585","10.016357","7.5022945","5.5243354","3.3019605","2.4259782",,"3.829349","14.672682","15.817065","18.238811","27.89189","32.06356","29.356432","24.022224","17.734068","15.200265","15.584118","12.0901","10.770599","7.932114","5.717124","3.2192044","2.2863252","2.0172896","836014fffffffff","POLYGON ((77.55541637152 13.012083482289999, 77.55541637152 13.012916815619999, 77.55458303819 13.012916815619999, 77.55458303819 13.012083482289999, 77.55541637152 13.012083482289999))"
