id,name,,active,top_category,category,sub_categories,type,brand_name,brand_id,source,number_of_votes,address,image_url,place_url,verified
ChIJpRY7UWw9rjsRkzbqz8VlSgQ,Pentagon Space - Head office,,TRUE,education,tuition_center,['Education center'],N_A,N_A,N_A,gmaps_v2,4448,"Pentagon Space - Head office, 765, 8th Cross Rd, Govindaraja Nagar Ward, MC Layout, Vijayanagar, Bengaluru, Karnataka 560040",https://lh5.googleusercontent.com/p/AF1QipOdkCtBGfLZq30Erfd4uk9H_V-3V-Ik3x7Vc2OT=w80-h106-k-no,https://www.google.com/maps/place/?q=place_id:ChIJpRY7UWw9rjsRkzbqz8VlSgQ,TRUE
ChIJT86eaNc8rjsRqJf0vL_G1DY,Mark Education Academy,,TRUE,education,tuition_center,"['Computer training school' 'Accounting software company'
 'Education center' 'Educational institution'
 'Software Training Institute' 'Typist']",N_A,Mark Education Academy,markeducationacademy,gmaps_v2,3319,"Mark Education Academy, Metro Station, 17/2, 2nd Floor, Tumkur Rd, above Punjab National Bank, opposite to T.Dasarahlli, T. Dasarahalli, Bengaluru, Karnataka 560057",https://lh5.googleusercontent.com/p/AF1QipOEeBpJ8E_bvrhQcJthp7LbC2MSTrr6Z7pBRoiu=w122-h92-k-no,https://www.google.com/maps/place/?q=place_id:ChIJT86eaNc8rjsRqJf0vL_G1DY,TRUE
ChIJSzP0j909rjsRrCY8XdVbwCU,Ambara Institute of Aviation and Hospitality,,TRUE,education,tuition_center,['Aviation training institute' 'Education center' 'Training centre'],N_A,N_A,N_A,gmaps_v2,1857,"Ambara Institute of Aviation and Hospitality, 540, 3rd Floor 8th Main, Road, Vijayanagar, Bengaluru, Karnataka 560040",https://lh5.googleusercontent.com/p/AF1QipOct2OEWYbunoNpssbYXvh3G6jTcjaexWZOtdQy=w137-h92-k-no,https://www.google.com/maps/place/?q=place_id:ChIJSzP0j909rjsRrCY8XdVbwCU,TRUE
ChIJEY8OISoWrjsRmULQuku8iz0,"MES College of Arts, Commerce and Science",,TRUE,education,college,['College'],N_A,N_A,N_A,gmaps_v2,1310,"MES College of Arts, Commerce and Science, 15th cross, prof, MPL Sastry Road, Malleshwaram, Bengaluru, Karnataka 560003",https://lh5.googleusercontent.com/p/AF1QipOixmbyN9ztlbLS1OahihfhYC_DEOOhZfTRDoyT=w122-h92-k-no,https://www.google.com/maps/place/?q=place_id:ChIJEY8OISoWrjsRmULQuku8iz0,TRUE
ChIJSyYW89UXrjsRVVNXlhZb4UQ,IISc Gymkhana,,TRUE,education,other,['Sports complex'],N_A,Indian Institute of Science,iisc,gmaps_v2,1297,"2H86+4XM IISc Gymkhana, Bengaluru - Mumbai Hwy, Opposite India Institute Of Science Hoste, IISc Gymnasium, Malleshwaram, Bengaluru, Karnataka 560012",https://lh5.googleusercontent.com/p/AF1QipPi42S1v65gNmMe7YNkzdS7DyKgLj3sBXw2Bc4y=w360-h269-k-no,https://www.google.com/maps/place/?q=place_id:ChIJSyYW89UXrjsRVVNXlhZb4UQ,TRUE
ChIJJwNwxHw9rjsRsCvgznu_PjY,Nethaji Motor Driving School in Bangalore | Best Driving Instructors near me,,TRUE,education,other,"['Driving school' 'Drivers license training school'
 'Motorcycle driving school']",driving_school,N_A,N_A,gmaps_v2,1188,"Nethaji Motor Driving School in Bangalore | Best Driving Instructors near me, Triveni Main Rd, Kamla Nehru. Extension, Yeswanthpur, Bengaluru, Karnataka 560022",https://lh5.googleusercontent.com/p/AF1QipM2ZgQKuToAiQpPoQ1K9jS-6SsNhYoVS7_1xnko=w163-h92-k-no,https://www.google.com/maps/place/?q=place_id:ChIJJwNwxHw9rjsRsCvgznu_PjY,TRUE
ChIJPWRB_ds9rjsRgP0KecIlq1c,Padmashree Diagnostics,,TRUE,medical,college,['Diagnostic center'],N_A,Padmashree Group of Institutions,padmashree,gmaps_v2,1172,"Padmashree Diagnostics, 97, 17th cross, M C Layout, Near Hosahalli metro station, Vijayanagar, Bengaluru, Karnataka 560040",https://lh5.googleusercontent.com/p/AF1QipNsb_MylLlZSExAqem2oPHBx4pdZgsUsAdWFIjz=w163-h92-k-no,https://www.google.com/maps/place/?q=place_id:ChIJPWRB_ds9rjsRgP0KecIlq1c,TRUE
ChIJE8R9PncWrjsRCKUiwI9MdCg,Department Of Pre-University Education,,TRUE,education,college,['Education Councils & Boards Office'],N_A,N_A,N_A,gmaps_v2,1083,"Department Of Pre-University Education, 18th Cross Road,18th Cross Road, Sampige Rd, Malleshwaram, Bengaluru, Karnataka 560012",https://lh5.googleusercontent.com/p/AF1QipOIcDYWFf829Fe1quuDja0jsDZxb1lg3J8dvAiq=w163-h92-k-no,https://www.google.com/maps/place/?q=place_id:ChIJE8R9PncWrjsRCKUiwI9MdCg,TRUE
ChIJg7wnXl49rjsRbkMhfyQjD78,Sri Sai Correspondence College,,TRUE,education,college,"['University' 'Educational institution' 'Private College'
 'Studying center' 'Teacher college' 'Education center']",N_A,N_A,N_A,gmaps_v2,1011,"Sri Sai Correspondence College, No.28/1 Ground Floor, 560, MS Ramaiah Rd, Gokula 1st Stage, Mathikere, Bengaluru, Karnataka 560054",https://lh5.googleusercontent.com/p/AF1QipOyGZdbMMmoox-zaTsKFXIgfgyApgvPgRKBa-24=w163-h92-k-no,https://www.google.com/maps/place/?q=place_id:ChIJg7wnXl49rjsRbkMhfyQjD78,TRUE
ChIJhS7KWS4WrjsRRVQLYNl7Nfs,"Geetanjali Institute - Distance Education Institute in Bangalore, Admission for B.ed, B.ed course colleges, BBA, BCA, MCA",,TRUE,education,college,"['University' 'Career guidance service' 'Consultant'
 'Department of education' 'Education center' 'Educational consultant'
 'Educational institution' 'Teacher college' 'Distance Learning Center']",N_A,N_A,N_A,gmaps_v2,948,"Geetanjali Institute - Distance Education Institute in Bangalore, Admission for B.ed, B.ed course colleges, BBA, BCA, MCA, #77, 3rd Floor, 13th Cross, Sampige Rd, Malleshwaram, Bengaluru, Karnataka 560003",https://lh5.googleusercontent.com/p/AF1QipPcEIUXh-ENfyn9kRKD0YuG6TLG6eHMkclr_OaG=w122-h92-k-no,https://www.google.com/maps/place/?q=place_id:ChIJhS7KWS4WrjsRRVQLYNl7Nfs,TRUE
