h3_lvl_7,neighbour_median,type_median,geom,population_income_distribution,EWS,LIG,MIG,AIG,EIG,EWS_HH,LIG_HH,MIG_HH,AIG_HH,EIG_HH,total_hh,avg_household_income
876014c9effffff,5778.4062813942255,neighbour_median,"POLYGON ((77.60405354808225 12.788867376350812, 77.60005315123205 12.80135929802335, 77.58746488635495 12.803908883056904, 77.57887854576195 12.793967933682401, 77.58287875147043 12.781477519707337, 77.5954654891926 12.778926547412611, 77.60405354808225 12.788867376350812))","{'EWS': {'min': 0, 'max': 180000, 'household_ratio': 0.16999999999999993}, 'LIG': {'min': 180000, 'max': 600000, 'household_ratio': 0.52}, 'MIG': {'min': 600000, 'max': 2000000, 'household_ratio': 0.17}, 'AIG': {'min': 2000000, 'max': 4800000, 'household_ratio': 0.13}, 'EIG': {'min': 4800000, 'max': 1000000000, 'household_ratio': 0.01}}",0.16999999999999993,0.52,0.17,0.13,0.01,185,568,185,142,10,1090,703416.7230098173
876189275ffffff,6033.087695862416,self_median,"POLYGON ((77.69801387542202 12.863312220255505, 77.69401210431467 12.875809108979723, 77.68140830245562 12.878358974254748, 77.6728077993293 12.868413332688784, 77.67680938434218 12.855917944350956, 77.68941165885624 12.853366697194286, 77.69801387542202 12.863312220255505))","{'EWS': {'min': 0, 'max': 180000, 'household_ratio': 0.17000000000000004}, 'LIG': {'min': 180000, 'max': 600000, 'household_ratio': 0.51}, 'MIG': {'min': 600000, 'max': 2000000, 'household_ratio': 0.18}, 'AIG': {'min': 2000000, 'max': 4800000, 'household_ratio': 0.13}, 'EIG': {'min': 4800000, 'max': 1000000000, 'household_ratio': 0.01}}",0.17000000000000004,0.51,0.18,0.13,0.01,850,2550,900,650,50,5000,734419.5907994277
87618935cffffff,4802.405474512791,neighbour_median,"POLYGON ((77.74783935804133 12.818146925023353, 77.74383796532261 12.83064988817236, 77.73122940581314 12.833206191392435, 77.72262376589966 12.823260909083682, 77.72662497530888 12.810759445801082, 77.73923200822198 12.80820176496224, 77.74783935804133 12.818146925023353))","{'EWS': {'min': 0, 'max': 180000, 'household_ratio': 0.17999999999999994}, 'LIG': {'min': 180000, 'max': 600000, 'household_ratio': 0.55}, 'MIG': {'min': 600000, 'max': 2000000, 'household_ratio': 0.15}, 'AIG': {'min': 2000000, 'max': 4800000, 'household_ratio': 0.11}, 'EIG': {'min': 4800000, 'max': 1000000000, 'household_ratio': 0.01}}",0.17999999999999994,0.55,0.15,0.11,0.01,203,620,169,124,11,1127,584606.231708429
876189341ffffff,3650.628394425473,self_median,"POLYGON ((77.73862773048175 12.773249982548176, 77.73462695763101 12.785753981244985, 77.72202145112041 12.788313039654408, 77.71341824394986 12.7783694768898, 77.71741883303957 12.765866980269786, 77.73002281334156 12.763306544339523, 77.73862773048175 12.773249982548176))","{'EWS': {'min': 0, 'max': 180000, 'household_ratio': 0.19000000000000006}, 'LIG': {'min': 180000, 'max': 600000, 'household_ratio': 0.6}, 'MIG': {'min': 600000, 'max': 2000000, 'household_ratio': 0.11}, 'AIG': {'min': 2000000, 'max': 4800000, 'household_ratio': 0.09}, 'EIG': {'min': 4800000, 'max': 1000000000, 'household_ratio': 0.01}}",0.19000000000000006,0.6,0.11,0.09,0.01,229,724,132,108,12,1205,444398.1501269179
876189345ffffff,5117.775524922574,neighbour_median,"POLYGON ((77.75523546533807 12.758182771167224, 77.75123481959942 12.77068878401049, 77.73862773048175 12.773249982548176, 77.73002281334156 12.763306544339523, 77.73402327624756 12.750802033395239, 77.74662883940725 12.748239458762505, 77.75523546533807 12.758182771167224))","{'EWS': {'min': 0, 'max': 180000, 'household_ratio': 0.17999999999999994}, 'LIG': {'min': 180000, 'max': 600000, 'household_ratio': 0.54}, 'MIG': {'min': 600000, 'max': 2000000, 'household_ratio': 0.15}, 'AIG': {'min': 2000000, 'max': 4800000, 'household_ratio': 0.12}, 'EIG': {'min': 4800000, 'max': 1000000000, 'household_ratio': 0.01}}",0.17999999999999994,0.54,0.15,0.12,0.01,199,597,165,132,11,1104,622996.8461082813
87618920dffffff,7179.476104053237,self_median,"POLYGON ((77.72843413012048 12.915597765412697, 77.72443155337179 12.928095085304786, 77.71182158128593 12.930642956408832, 77.7032157139092 12.920694888214342, 77.70721810616782 12.908199065210939, 77.71982655057417 12.905649813514113, 77.72843413012048 12.915597765412697))","{'EWS': {'min': 0, 'max': 180000, 'household_ratio': 0.15000000000000002}, 'LIG': {'min': 180000, 'max': 600000, 'household_ratio': 0.47}, 'MIG': {'min': 600000, 'max': 2000000, 'household_ratio': 0.21}, 'AIG': {'min': 2000000, 'max': 4800000, 'household_ratio': 0.16}, 'EIG': {'min': 4800000, 'max': 1000000000, 'household_ratio': 0.01}}",0.15000000000000002,0.47,0.21,0.16,0.01,232,729,325,248,15,1549,873971.698788529
8761892e5ffffff,6118.354814330052,self_median,"POLYGON ((77.69981303661072 12.96812623022036, 77.6958098976455 12.980618932217366, 77.68320157312287 12.983161114901936, 77.67459791621894 12.97321197905409, 77.67860086906154 12.960720773172516, 77.69120766521141 12.958177207023981, 77.69981303661072 12.96812623022036))","{'EWS': {'min': 0, 'max': 180000, 'household_ratio': 0.17000000000000004}, 'LIG': {'min': 180000, 'max': 600000, 'household_ratio': 0.5}, 'MIG': {'min': 600000, 'max': 2000000, 'household_ratio': 0.18}, 'AIG': {'min': 2000000, 'max': 4800000, 'household_ratio': 0.14}, 'EIG': {'min': 4800000, 'max': 1000000000, 'household_ratio': 0.01}}",0.17000000000000004,0.5,0.18,0.14,0.01,2673,7864,2831,2201,157,15726,744799.3242643656
8761892c2ffffff,7340.490797546012,self_median,"POLYGON ((77.68039360799987 13.065508705507737, 77.67638928640048 13.077995646884888, 77.66377955709054 13.08052935677789, 77.65517567911539 13.070577511684103, 77.65917981340942 13.058092063409072, 77.67178801326469 13.055556967125687, 77.68039360799987 13.065508705507737))","{'EWS': {'min': 0, 'max': 180000, 'household_ratio': 0.15999999999999992}, 'LIG': {'min': 180000, 'max': 600000, 'household_ratio': 0.46}, 'MIG': {'min': 600000, 'max': 2000000, 'household_ratio': 0.21}, 'AIG': {'min': 2000000, 'max': 4800000, 'household_ratio': 0.16}, 'EIG': {'min': 4800000, 'max': 1000000000, 'household_ratio': 0.01}}",0.15999999999999992,0.46,0.21,0.16,0.01,37,107,49,37,2,232,893572.3330356921
876014588ffffff,5703.745430206929,neighbour_median,"POLYGON ((77.4685286633207 12.991340265679604, 77.46452626654298 13.003812218751932, 77.45194786778248 13.00633823262552, 77.4433733959817 12.996393693497575, 77.4473755939715 12.98392324622748, 77.45995246282776 12.981395832286083, 77.4685286633207 12.991340265679604))","{'EWS': {'min': 0, 'max': 180000, 'household_ratio': 0.16999999999999993}, 'LIG': {'min': 180000, 'max': 600000, 'household_ratio': 0.52}, 'MIG': {'min': 600000, 'max': 2000000, 'household_ratio': 0.17}, 'AIG': {'min': 2000000, 'max': 4800000, 'household_ratio': 0.13}, 'EIG': {'min': 4800000, 'max': 1000000000, 'household_ratio': 0.01}}",0.16999999999999993,0.52,0.17,0.13,0.01,880,2692,880,673,51,5176,694328.1112504828
87601459effffff,7079.40251572327,self_median,"POLYGON ((77.52001498999378 13.05101796150424, 77.51601157312984 13.063491807684699, 77.50342383073443 13.066016555482515, 77.49484103570376 13.05606885452141, 77.49884425650933 13.043596509389022, 77.5114304686825 13.041070364171537, 77.52001498999378 13.05101796150424))","{'EWS': {'min': 0, 'max': 180000, 'household_ratio': 0.15000000000000002}, 'LIG': {'min': 180000, 'max': 600000, 'household_ratio': 0.47}, 'MIG': {'min': 600000, 'max': 2000000, 'household_ratio': 0.21}, 'AIG': {'min': 2000000, 'max': 4800000, 'household_ratio': 0.16}, 'EIG': {'min': 4800000, 'max': 1000000000, 'household_ratio': 0.01}}",0.15000000000000002,0.47,0.21,0.16,0.01,2897,9079,4056,3091,193,19316,861789.5447247766
