"id","name","lat","lng","cid","number_of_votes","place_url","source","category","created_at"
"ChIJE7QLpr49rjsRQ1hdP5uaogQ","Yukta's buy n save And SHREE COLLECTIONS","12.992167472839355","77.53406524658203","0x3bae3dbea60bb413:0x4a29a9b3f5d5843","0","https://www.google.com/maps/place/?q=place_id:ChIJE7QLpr49rjsRQ1hdP5uaogQ","gmaps_v2","supermarket","1687847039"
"ChIJS1IfTx4WrjsRJkUYv127kY0","A.MUTHULAKSHMI ENTERPRISES","12.984916687011719","77.56372833251953","0x3bae161e4f1f524b:0x8d91bb5dbf184526","5","https://www.google.com/maps/place/?q=place_id:ChIJS1IfTx4WrjsRJkUYv127kY0","gmaps_v2","supermarket","1687847039"
"ChIJxcW_wk49rjsRlNFdkWhTh7k","Coastal Connect Enterprises","12.989842414855957","77.55390167236328","0x3bae3d4ec2bfc5c5:0xb9875368915dd194","16","https://www.google.com/maps/place/?q=place_id:ChIJxcW_wk49rjsRlNFdkWhTh7k","gmaps_v2","supermarket","1699615207"
"ChIJrS01IE09rjsRN1GMu3Pr4G0","Departmental Store","13.040319442749023","77.51718139648438","0x3bae3d4d20352dad:0x6de0eb73bb8c5137","0","https://www.google.com/maps/place/?q=place_id:ChIJrS01IE09rjsRN1GMu3Pr4G0","gmaps_v2","supermarket","1699615207"
"ChIJDe7_2dk9rjsRRfw-VfacHpo","YASHODHA ENTERPRISES","12.997001647949219","77.52914428710938","0x3bae3dd9d9ffee0d:0x9a1e9cf6553efc45","2","https://www.google.com/maps/place/?q=place_id:ChIJDe7_2dk9rjsRRfw-VfacHpo","gmaps_v2","supermarket","1687847039"
"ChIJQa501hgWrjsRDkd_oVpoxv0","Ranjan News Agency","12.9857816696167","77.56805419921875","0x3bae1618d674ae41:0xfdc6685aa17f470e","1","https://www.google.com/maps/place/?q=place_id:ChIJQa501hgWrjsRDkd_oVpoxv0","gmaps_v2","supermarket","1687847039"
"ChIJTRzluME9rjsR_3WGMMzNxK0","M V Traders","13.020917892456055","77.54885864257812","0x3bae3dc1b8e51c4d:0xadc4cdcc308675ff","27","https://www.google.com/maps/place/?q=place_id:ChIJTRzluME9rjsR_3WGMMzNxK0","gmaps_v2","supermarket","1699615207"
"ChIJUeXs9QU-rjsRWapeHgEMErA","Ecotex Fashions","12.981441497802734","77.56766510009766","0x3bae3e05f5ece551:0xb0120c011e5eaa59","3","https://www.google.com/maps/place/?q=place_id:ChIJUeXs9QU-rjsRWapeHgEMErA","gmaps_v2","supermarket","1687847039"
"ChIJ7QfOB5Y9rjsR9OY0L_PHSNU","allfreshstore","13.031920433044434","77.55433654785156","0x3bae3d9607ce07ed:0xd548c7f32f34e6f4","1","https://www.google.com/maps/place/?q=place_id:ChIJ7QfOB5Y9rjsR9OY0L_PHSNU","gmaps_v2","supermarket","1699615207"
"ChIJZxHhQuYXrjsR69wJEoGLZVk","Public Toilet","12.979113578796387","77.5641860961914","0x3bae17e642e11167:0x59658b811209dceb","0","https://www.google.com/maps/place/?q=place_id:ChIJZxHhQuYXrjsR69wJEoGLZVk","gmaps_v2","supermarket","1687847039"
"ChIJsSrWoPM9rjsRgEGjL-G0fPE","R V Badrayya Bale Yele Merchant","12.985180854797363","77.5541000366211","0x3bae3df3a0d62ab1:0xf17cb4e12fa34180","232","https://www.google.com/maps/place/?q=place_id:ChIJsSrWoPM9rjsRgEGjL-G0fPE","gmaps_v2","supermarket","1699615207"
"ChIJv2dIzwE9rjsRT2XwFj9YwBI","Behtar Supermarket","12.989073753356934","77.5425796508789","0x3bae3d01cf4867bf:0x12c0583f16f0654f","3","https://www.google.com/maps/place/?q=place_id:ChIJv2dIzwE9rjsRT2XwFj9YwBI","gmaps_v2","supermarket","1699615207"
"ChIJ_UCIJB4WrjsR_zd_C3pXogQ","Srinivas Eletrician","12.984391212463379","77.56248474121094","0x3bae161e248840fd:0x4a2577a0b7f37ff","0","https://www.google.com/maps/place/?q=place_id:ChIJ_UCIJB4WrjsR_zd_C3pXogQ","gmaps_v2","supermarket","1687847039"
"ChIJuRmApB4WrjsRIkaxIsGQhrk","Sri Adhishakthi Traders","12.98344612121582","77.56491088867188","0x3bae161ea48019b9:0xb98690c122b14622","5","https://www.google.com/maps/place/?q=place_id:ChIJuRmApB4WrjsRIkaxIsGQhrk","gmaps_v2","supermarket","1699615207"
"ChIJ86eyPKY9rjsR3itleihff3A","M.N. Provision Stores","13.005282402038574","77.52828216552734","0x3bae3da63cb2a7f3:0x707f5f287a652bde","2","https://www.google.com/maps/place/?q=place_id:ChIJ86eyPKY9rjsR3itleihff3A","gmaps_v2","supermarket","1687847039"
"ChIJGyB-ylIXrjsRosG9iIESOEA","Goconuts","12.980948448181152","77.56342315673828","0x3bae1752ca7e201b:0x4038128188bdc1a2","9","https://www.google.com/maps/place/?q=place_id:ChIJGyB-ylIXrjsRosG9iIESOEA","gmaps_v2","supermarket","1687847039"
"ChIJh6RdTfk9rjsRTUq4xVt2jCQ","Kumar swamy stores","12.971280097961426","77.5562973022461","0x3bae3df94d5da487:0x248c765bc5b84a4d","2","https://www.google.com/maps/place/?q=place_id:ChIJh6RdTfk9rjsRTUq4xVt2jCQ","gmaps_v2","supermarket","1687847039"
"ChIJY87ach0WrjsRK8SbNMgtZe0","Arasu Sheet","12.979240417480469","77.56332397460938","0x3bae161d72dace63:0xed652dc8349bc42b","1","https://www.google.com/maps/place/?q=place_id:ChIJY87ach0WrjsRK8SbNMgtZe0","gmaps_v2","supermarket","1687847039"
"ChIJy6zqoKA9rjsRjZNKqSv3ib0","The Johnson market","13.019927978515625","77.54608917236328","0x3bae3da0a0eaaccb:0xbd89f72ba94a938d","1","https://www.google.com/maps/place/?q=place_id:ChIJy6zqoKA9rjsRjZNKqSv3ib0","gmaps_v2","supermarket","1687847039"
"ChIJO4hLSQwXrjsRjcUE2IMNMeA","Hanshane Fish Mart","12.984566688537598","77.56261444091797","0x3bae170c494b883b:0xe0310d83d804c58d","0","https://www.google.com/maps/place/?q=place_id:ChIJO4hLSQwXrjsRjcUE2IMNMeA","gmaps_v2","supermarket","1687847039"
"ChIJ3bqc2Us9rjsR9gLjLVrD598","Smart Groceries (Wholesale & Retail Grocery Store)","13.020150184631348","77.54800415039062","0x3bae3d4bd99cbadd:0xdfe7c35a2de302f6","109","https://www.google.com/maps/place/?q=place_id:ChIJ3bqc2Us9rjsR9gLjLVrD598","gmaps_v2","supermarket","1699615207"
"ChIJj3TN_9gXrjsRHpuFdt6kpPo","B.M.MOTORS","12.994635581970215","77.57655334472656","0x3bae17d8ffcd748f:0xfaa4a4de76859b1e","1","https://www.google.com/maps/place/?q=place_id:ChIJj3TN_9gXrjsRHpuFdt6kpPo","gmaps_v2","supermarket","1687847039"
"ChIJKTeCOGA9rjsROw7Acp4hUaU","Sri Hanuman Fruits Stall","13.032057762145996","77.56131744384766","0x3bae3d6038823729:0xa551219e72c00e3b","7","https://www.google.com/maps/place/?q=place_id:ChIJKTeCOGA9rjsROw7Acp4hUaU","gmaps_v2","supermarket","1687847039"
"ChIJf-3Sg54XrjsRhX08WjKYKu4","MAKE IN MAAC","12.977137565612793","77.56538391113281","0x3bae179e83d2ed7f:0xee2a98325a3c7d85","0","https://www.google.com/maps/place/?q=place_id:ChIJf-3Sg54XrjsRhX08WjKYKu4","gmaps_v2","supermarket","1687847039"
"ChIJIeCJKoU9rjsRr_cMt6V5e98","Akshaya Mini Bazar","13.001673698425293","77.55061340332031","0x3bae3d852a89e021:0xdf7b79a5b70cf7af","135","https://www.google.com/maps/place/?q=place_id:ChIJIeCJKoU9rjsRr_cMt6V5e98","gmaps_v2","supermarket","1699615207"
