id,name,lat,lng,cid,number_of_votes,place_url,source,category,created_at,number_of_reviews,date
18503724,Hotel Karavali Food Point,12.9729712952,77.5399083272,,20200,,zomato,restaurant,1688639100,9742,1397932200.0
19133803,The Bangalore Bakery,12.9943341774,77.5715503469,,128,,zomato,restaurant,1688639100,9742,1397932200.0
19545566,Cake's Joint,13.0058918907,77.5648790225,,130,,zomato,restaurant,1688639100,9742,1397932200.0
18385424,Seafood Dot Grill,13.0169257556,77.5492809713,,83,,zomato,restaurant,1688639100,9742,1397932200.0
19616247,M Grill,13.0301234775,77.5623034313,,56,,zomato,restaurant,1688639100,9742,1397932200.0
51809,Hotel Moonlight,12.9966902579,77.5687323511,,196,,zomato,restaurant,1688639100,9742,1397932200.0
19727916,Ajji Pork Hotel,13.0190434881,77.5510512292,,1161,,zomato,restaurant,1688639100,9742,1397932200.0
18503722,Holige Mane,12.9724420106,77.5378738716,,370,,zomato,restaurant,1688639100,9742,1397932200.0
19798074,Little Owl Chinese,13.0307784158,77.5699542944,,1448,,zomato,restaurant,1688639100,9742,1397932200.0
18880598,Tasty Box,13.0297805017,77.5619500503,,392,,zomato,restaurant,1688639100,9742,1397932200.0
19856348,Mojito Hub,13.0329855097,77.5661004335,,32,,zomato,restaurant,1688639100,9742,1397932200.0
18562416,Hotel New Panchavati,12.9727354043,77.5379315391,,1945,,zomato,restaurant,1688639100,9742,1397932200.0
19679248,Hotel Sankranti Nati Style,13.0118745493,77.5291949138,,68,,zomato,restaurant,1688639100,9742,1397932200.0
19723309,Sri Lakshmi Tiffin's,13.0002517782,77.5541371107,,36,,zomato,restaurant,1688639100,9742,1397932200.0
19829288,Bhyraveshwara Chats,13.0421175297,77.5146130845,,38,,zomato,restaurant,1688639100,9742,1397932200.0
18630511,Ambur Biryani Zone,12.9970777089,77.5714866444,,5,,zomato,restaurant,1688639100,9742,1397932200.0
52324,Palette - Taj Yeshwantpur,13.028907708,77.5404658914,,281,,zomato,restaurant,1688639100,9742,1397932200.0
20083572,Pulusu,13.0358648206,77.5668943673,,369,,zomato,restaurant,1688639100,9742,1397932200.0
19900223,Venky Kabab,13.0424768197,77.5163042173,,245,,zomato,restaurant,1688639100,9742,1397932200.0
19637666,Bitefull,12.9892269726,77.5759448111,,18,,zomato,restaurant,1688639100,9742,1397932200.0
18866727,Bhanu Hindi Military Hotel,12.9797862244,77.5387657061,,103,,zomato,restaurant,1688639100,,
19856394,PC Biryani Joint,13.0329946556,77.5660736114,,49,,zomato,restaurant,1688639100,9742,1397932200.0
19099635,L J Iyenger’s Cakes N Cookies,12.9881034584,77.5455899164,,374,,zomato,restaurant,1688639100,9742,1397932200.0
57672,Sri Sairam's Chats And Juice,13.0054015507,77.5723613799,,490,,zomato,restaurant,1688639100,9742,1397932200.0
19115661,New GFC Hotel,13.0423687061,77.5139961764,,576,,zomato,restaurant,1688639100,9742,1397932200.0
19780616,Holige Mane,12.9724916719,77.5378021225,,248,,zomato,restaurant,1688639100,9742,1397932200.0
19677157,Rasayana Coffee Bar,12.9872288845,77.542181164,,36,,zomato,restaurant,1688639100,9742,1397932200.0
18418561,Absolute Chinese,13.0070434183,77.5547198206,,5070,,zomato,restaurant,1688639100,9742,1397932200.0
19466303,Abhiruchi Hindu Military Hotel,13.0079894637,77.5711745024,,55,,zomato,restaurant,1688639100,9742,1397932200.0
20249500,7th Heaven,12.9863938384,77.5412839651,,36,,zomato,restaurant,1688639100,9742,1397932200.0
55961,Tingling Spice -  The Fern Residency,13.026827951,77.544066757,,162,,zomato,restaurant,1688639100,9742,1397932200.0
20285508,Hotel Rajaatithya,12.9883522939,77.5542372466,,2,,zomato,restaurant,1688639100,9742,1397932200.0
19455416,Mayura 1989 Andhra Speciality Restaurant,12.9758300662,77.552633062,,469,,zomato,restaurant,1688639100,9742,1397932200.0
18856593,Kolkata Famous Kati Roll,12.9853921713,77.5451289117,,2229,,zomato,restaurant,1688639100,9742,1397932200.0
18426395,Sultan Rolls & Sandwiches,13.030082647,77.5629293919,,6655,,zomato,restaurant,1688639100,9742,1397932200.0
57740,Karavali Deluxe,13.0190872602,77.5571864471,,480,,zomato,restaurant,1688639100,9742,1397932200.0
19611170,Rolls Raaja,13.0010668501,77.5530749559,,69,,zomato,restaurant,1688639100,9742,1397932200.0
51806,RS Shiv Sagar,12.991879413,77.5703332946,,728,,zomato,restaurant,1688639100,9742,1397932200.0
19760559,Monster Maggi,13.0331426233,77.5660675764,,425,,zomato,restaurant,1688639100,9742,1397932200.0
19286677,Udupi Ruchi Grand,13.0219788189,77.5333134457,,4445,,zomato,restaurant,1688639100,9742,1397932200.0
20242589,Coppia,13.0284796,77.5715173,,12,,zomato,restaurant,1688639100,9742,1397932200.0
19447397,Bokeh Resto Cafe,13.0282868206,77.5732616506,,117,,zomato,restaurant,1688639100,9742,1397932200.0
19775112,Vallari Roti And Snacks Ghar,12.9933207814,77.5767615438,,111,,zomato,restaurant,1688639100,9742,1397932200.0
19624799,Chicking,12.983541,77.548758,,1,,zomato,restaurant,1688639100,,
51233,New Shanthi Sagar,13.0066308291,77.5791071355,,42,,zomato,restaurant,1688639100,9742,1397932200.0
18419820,New Sagar Fast Food,12.9899630203,77.5527805835,,42,,zomato,restaurant,1688639100,9742,1397932200.0
19592037,Mutton Kabab & Rolls House,13.0323998443,77.5665275753,,542,,zomato,restaurant,1688639100,9742,1397932200.0
19244661,Surakshith Chinese,13.0045822461,77.5802316517,,47,,zomato,restaurant,1688639100,9742,1397932200.0
19704772,Sri Doddaiah Military Hotel,12.9898869001,77.5503525138,,13,,zomato,restaurant,1688639100,9742,1397932200.0
58937,New Karavali Restaurant,13.0195478474,77.5580749288,,176,,zomato,restaurant,1688639100,9742,1397932200.0
61483,Vishwa Brahmin's Cafe,13.0011691015,77.5531081483,,40,,zomato,restaurant,1688639100,9742,1397932200.0
60819,Salaam Sigri Rolls & Kebabs,13.028259317,77.572016716,,685,,zomato,restaurant,1688639100,9742,1397932200.0
19854571,The Ice Cream Spot,12.9973277429,77.5475040753,,32,,zomato,restaurant,1688639100,9742,1397932200.0
19686043,New Burger Junction,13.0293568444,77.5618615374,,39,,zomato,restaurant,1688639100,9742,1397932200.0
19288221,Geometry Gastropub,13.008025071,77.5570546836,,1175,,zomato,restaurant,1688639100,9742,1397932200.0
19453765,Ashok Vattika Xpress,12.9730395794,77.5515434146,,8,,zomato,restaurant,1688639100,9742,1397932200.0
18567870,Nebula,13.0120382096,77.5562456623,,29,,zomato,restaurant,1688639100,9742,1397932200.0
18642512,Stories Bar & Kitchen,13.0085235727,77.5492112339,,8852,,zomato,restaurant,1688639100,9742,1397932200.0
18494075,Hamsa Sagar,13.0009283371,77.5409131497,,6,,zomato,restaurant,1688639100,9742,1397932200.0
19117015,I Cake,13.0083824504,77.5711818784,,128,,zomato,restaurant,1688639100,9742,1397932200.0
61644,TLP Cafe,13.0070074842,77.5644317642,,445,,zomato,restaurant,1688639100,9742,1397932200.0
19195872,Shanthi Sagar Grand,13.004069036,77.5713870674,,476,,zomato,restaurant,1688639100,9742,1397932200.0
