id,name,lat,lng,source,category,number_of_votes,reviews_per_day
ChIJ441Kr5I9rjsRm-EYn-cfOhE,Narayana Nethralaya Eye Hospital,13.011795997619627,77.55216979980469,gmaps_v2,hospital,53561,201.07772824729767
ChIJiR-5XXg9rjsRcPKp8tB-aY0,NU Hospitals (West),13.012133598327637,77.55274963378906,gmaps_v2,hospital,3624,1.1984466876483328
ChIJx7977MI9rjsRY6fpPpJJEb4,SPECTRUM DIAGNOSTICS AND HEALTHCARE,13.007613182067873,77.55461883544922,gmaps_v2,clinic,552,0.39087145727666
ChIJNSOSoXg9rjsRyqe-j79Znp0,"Lenskart.com at Orion Mall, Malleshwaram West",13.011481285095217,77.55513000488281,gmaps_v2,clinic,728,0.3591763550866948
ChIJC3qgfbpRUjoRC_nBgC4wng0,Dr Mohankumar Urologist,13.011262893676758,77.55694580078125,gmaps_v2,clinic,284,0.2964689021247023
ChIJ1dcMpF09rjsRljq4fa5u6Xw,Dr. Mohammed Rehan Sayeed | Best Cardiac Surgeon & CTVS in Yeshwanthpur | Manipal Hospital Yeshwanthpur,13.014219284057615,77.55603790283203,gmaps_v2,hospital,48,0.2143550372115734
ChIJsZvkFoA9rjsRbRgheEAyQms,NU Fertility (West),13.012107849121094,77.55279541015625,gmaps_v2,clinic,236,0.1357923624601193
ChIJD-Y_f4E9rjsRZalDy9FBjRQ,Dr Bhat's Homeopathy,13.008177757263184,77.5561294555664,gmaps_v2,clinic,148,0.1111941215777874
ChIJHW5-ExU9rjsRszbS981b5Js,KRIDE Corporate Office,13.01172924041748,77.55412292480469,gmaps_v2,clinic,48,0.07704819649683
ChIJ_VpxP6E9rjsRer8HuUoywK0,Medfin Clinic-Rajajinagar Bangalore,13.007593154907228,77.55459594726562,gmaps_v2,clinic,40,0.0579213243389024
ChIJ5R3LK4I9rjsRgF6Nq2TrVqg,Mamatha Nursing Home,13.00794506072998,77.55601501464844,gmaps_v2,hospital,58,0.0244095402977559
ChIJWx6-nkIWrjsRh8RCApu-KIk,The Heart Center@Manipal hospitals Yeshwanthpur,13.014409065246582,77.55628967285156,gmaps_v2,clinic,41,0.015652976895819
ChIJIWpJD0E9rjsRt7kNc609peQ,Dr. Jyothi Shenoy | Best Obstetrician-gynecologist in Yeswanthpur | Manipal Hospital Yeswanthpur,13.014189720153809,77.55606842041016,gmaps_v2,hospital,27,0.0013761109901092
ChIJ3Q3TS_M9rjsRNnd2r8JEdRE,Dr. Supraja Chandrasekar | Best Pediatrician in Yeswanthpur | Manipal Hospital Yeswanthpur,13.014189720153809,77.55606842041016,gmaps_v2,hospital,25,0.0012741768426937
ChIJ-6jGNXk9rjsRbx7qWUJOw_0,"Rivaara Labs Pvt Ltd, C/O Columbia Asia Referral Hospital,",13.014663696289062,77.55592346191406,gmaps_v2,hospital,17,0.0008702210366587
ChIJ-aPbRwk9rjsRS6h84d5aKHM,Dr. Varsha Monica Reddy - Pediatric Neurologist,13.014189720153809,77.55606842041016,gmaps_v2,clinic,16,0.0008190315639141
ChIJD5mVbyw9rjsR5Z5pQ-o7pPc,Parkinsons Disease and Movement Disorders Clinic,13.007115364074709,77.55453491210938,gmaps_v2,clinic,16,0.0008154731793239
ChIJFRodEGg9rjsRUjx3NCyD0XQ,Dr. Khushal D Shah | Best Neonatologist in Yeswanthpur | Manipal Hospital Yeswanthpur,13.014188766479492,77.55606842041016,gmaps_v2,hospital,16,0.0008154731793239
ChIJV7Smyns9rjsRPHbO4mbMoWg,Dr. Praveen Kumar M | Best Rheumatologist in Yeswanthpur | Manipal Hospital Yeswanthpur,13.01394748687744,77.55594635009766,gmaps_v2,hospital,13,0.0006625719582007
ChIJB1VVGb4XrjsRMu4VyglM22c,Amplifon (India) Pvt. Ltd.,13.014134407043455,77.55619049072266,gmaps_v2,clinic,12,0.0006142736729355
ChIJO7oT4f49rjsRWkUFKeFUmfk,Dr. Shafalika S B | Best Gynecologist in Yeswanthpur | Manipal Hospital Yeswanthpur,13.014189720153809,77.55606842041016,gmaps_v2,hospital,11,0.0005630842001909
ChIJNYogtYM9rjsRVgE8f37KnCg,Genematrix Molecular Diagnostics and Research,13.00757122039795,77.55460357666016,gmaps_v2,clinic,11,0.0005606378107852
ChIJizko4zs9rjsRMBhkv3bNmYY,Dr. Vinay Munikoty Venkatesh | Best Pediatric Hematologist in Yeshwanthpur | Manipal Hospital Yeshwanthpur,13.014185905456545,77.55607604980469,gmaps_v2,hospital,11,0.0005606378107852
ChIJ-UmXiSkWrjsRwjCcwGZzfuQ,Vivek Bhaskar Haldipur Dr,13.00793743133545,77.55719757080078,gmaps_v2,clinic,10,0.0005118947274463
ChIJpaBpKoE9rjsRLVZcoin0JqI,Dr. Rajeshwari Janakiraman | Best Endocrinologist in Yeshwanthpur | Manipal Hospital Yeshwanthpur,13.01430320739746,77.55612182617188,gmaps_v2,hospital,10,0.0005096707370774
ChIJuQ2_zHg9rjsRzl4o7KjTlL8,First Eat Right,13.012353897094728,77.55613708496094,gmaps_v2,clinic,9,0.0004607052547016
ChIJOyxQ9Es9rjsRzCU_7kOpjFo,Dr. Vidyasagar Ramappa | Best Gastroenterologist in Yeswanthpur | Manipal Hospital Yeswanthpur,13.0142822265625,77.55614471435547,gmaps_v2,hospital,9,0.0004607052547016
ChIJ-V3rOok9rjsRhLWS3D0LrYs,Dr. Prashanth P N | Best Gastroenterologist in Yeshwanthpur | Manipal Hospital Yeshwanthpur,13.014219284057615,77.55612182617188,gmaps_v2,hospital,9,0.0004587036633697
ChIJadjlnoE9rjsR9W1BYhrgByg,Blumo Hearing & Speech Clinic,13.008023262023926,77.55745697021484,gmaps_v2,clinic,9,0.0004587036633697
ChIJ2V_O5909rjsR5-D9yxxUlVU,Dr. Deepak Kumar Chithralli | Best Nephrologist in Yeswanthpur | Manipal Hospital Yeswanthpur,13.014189720153809,77.55606842041016,gmaps_v2,hospital,8,0.000409515781957
ChIJUxGe1MM9rjsR9UvaThQAmsI,Sriraksha Heart Centre,13.007318496704102,77.55453491210938,gmaps_v2,clinic,7,0.0003583263092124
ChIJCZgEB089rjsRQ58gg_kI_sI,Dr. Sundar C Ingaleshwar | Best Pediatrician in Yeswanthpur | Manipal Hospital Yeswanthpur,13.014190673828123,77.55606842041016,gmaps_v2,hospital,6,0.0003058024422464
ChIJpc1maTA9rjsRyyMnADxdOTU,Dr. Abdul Majeed | Best Internal Medicine in Yeshwanthpur | Manipal Hospital Yeshwanthpur,13.014189720153809,77.55606842041016,gmaps_v2,hospital,5,0.0002548353685387
ChIJ-4VhJIQ9rjsRABdQuTxGdis,Dr. Chirag D | Best Cardiologist in Yeswanthpur | Manipal Hospital Yeswanthpur,13.014198303222656,77.55606079101562,gmaps_v2,hospital,4,0.0002047578909785
