cluster_name,locality,polygon_updated,area,lat,lng,distance
"8th Main 3rd Phase Peenya Industrial Area Yeshwanthpur Suburb Ii Stage Yesvanpur Surburb Phase 3 Peenya,Ashok Nagar",Ashok Nagar,"POLYGON ((77.606689453125 12.971080780029297, 77.60193634033203 12.973502159118652, 77.60235595703125 12.976056098937988, 77.61280059814453 12.97512435913086, 77.61229705810547 12.973549842834473, 77.606689453125 12.971080780029297))",412117.8093093112,12.97389119830939,77.6069543023396,4.09
"Chinmaya Mission Hospital Road, Binnamangala,Indiranagar",Indiranagar,"POLYGON ((77.64129638671875 12.974823951721191, 77.63467407226562 12.978100776672363, 77.6367409 12.9806972, 77.646393 12.9804024, 77.6468734741211 12.979133605957031, 77.64129638671875 12.974823951721191))",530881.8245048374,12.978379427716614,77.64076764369807,2.65
"Bhaskaran Road, Yellappa Chetty Layout,Ulsoor",Ulsoor,"POLYGON ((77.62160976870922 12.972318507617084, 77.62152249778214 12.972206745669132, 77.6214244698618 12.97210391781213, 77.62131663040456 12.972011015726702, 77.62120001948539 12.971928935357443, 77.62107576176503 12.97185846827286, 77.6209450556423 12.97180029403293, 77.62080916169519 12.971754973636479, 77.62066939052279 12.971722944112784, 77.62052709010544 12.971704514308646, 77.62038363280442 12.971699861911807, 77.62024040212741 12.971709031739373, 77.6200987793865 12.97173193530766, 77.61996013037805 12.971768351687217, 77.61982579221217 12.971817929635359, 77.61969706041947 12.97188019098476, 77.6195751764588 12.971954535256188, 77.61946131574663 12.972040245450263, 77.61689025524001 12.974180283348733, 77.61678619832472 12.974275834356707, 77.61669212757779 12.974380871986973, 77.61660893781004 12.974494397082205, 77.61653742033357 12.974615329755771, 77.61647825543595 12.974742519663291, 77.61643200590999 12.974874756943729, 77.61639911170076 12.975010783726765, 77.61637988572102 12.975149306096295, 77.61637451087437 12.97528900639716, 77.61638303831478 12.975428555767389, 77.61640538695923 12.975566626777258, 77.61644134425741 12.975701906054748, 77.61649056821213 12.975833106777513, 77.61655259063079 12.975958980912669, 77.61662682157674 12.976078331087798, 77.61671255497929 12.976190021980306, 77.61680897534764 12.976292991117116, 77.61691516552658 12.97638625898164, 77.61703011541873 12.976468938331838, 77.61715273159155 12.976540242641331, 77.61728184767712 12.976599493582198, 77.61741623546627 12.976646127479384, 77.6175546165912 12.97667970067409, 77.61769567468583 12.97669989374642, 77.61783806790781 12.976706514555403, 77.62191219407347 12.976700842293692, 77.62205636954528 12.976693648621909, 77.62219911836627 12.97667254208199, 77.62233904800203 12.97663772852066, 77.62247479341156 12.976589547501353, 77.62260503036505 12.976528468993433, 77.62272848836376 12.976455088788542, 77.62284396303573 12.976370122689765, 77.62295032788677 12.976274399529212, 77.62304654529125 12.976168853083013, 77.62313167661635 12.97605451296169, 77.62320489138001 12.975932494565862, 77.62326547535372 12.975803988204229, 77.62331283753097 12.975670247480913, 77.62334651589322 12.97553257706472, 77.62336618191704 12.97539231996076, 77.62337164377878 12.975250844406906, 77.62336284822516 12.975109530525359, 77.62333988109175 12.974969756857556, 77.62330296646415 12.974832886914575, 77.62325246449045 12.974700255875115, 77.6231888678659 12.974573157559147, 77.62311279702458 12.974452831806333, 77.62160976870922 12.972318507617084))",52236.9692543149,12.974557876586914,77.62005106608073,3.22
"Narayan Pillai Street, Tasker Town,Sivanchetti Gardens",Sivanchetti Gardens,"POLYGON ((77.607177734375 12.979924201965332, 77.60447692871094 12.98720645904541, 77.6064224243164 12.988486289978027, 77.61431121826172 12.981033325195312, 77.607177734375 12.979924201965332))",477338.4853507877,12.983603882276212,77.60857743875869,3.23
"Edward Road,Vasanth Nagar",Vasanth Nagar,"POLYGON ((77.59890027527024 12.983531716704714, 77.59887724857657 12.9834260320586, 77.5988439652189 12.98332300878922, 77.59880073372868 12.98322360182722, 77.59874795484774 12.983128732578876, 77.59868611781269 12.98303928038529, 77.59861579581901 12.982956074371469, 77.5985376407068 12.982879885761259, 77.59845237691779 12.982811420729103, 77.59836079477944 12.982751313855097, 77.59826374317853 12.982700122243354, 77.59816212169217 12.98265832035945, 77.59805687224905 12.982626295633196, 77.59794897039855 12.982604344868776, 77.5978394162683 12.982592671494873, 77.59772922529429 12.982591383680134, 77.59761941880923 12.982600493331574, 77.59751101457658 12.982619915985753, 77.59740501735783 12.982649471592076, 77.59730240960032 12.982688886183066, 77.59720414233237 12.982737794414026, 77.59711112634926 12.982795742950303, 77.59702422377264 12.982862194669343, 77.59407931831133 12.985346509178807, 77.59399428554093 12.985426041964075, 77.59391801580867 12.985513705036833, 77.59385131292582 12.985608574491131, 77.59379487987991 12.985709650475911, 77.59374931142692 12.9858158677318, 77.59224632914825 12.989892783535588, 77.59221347904997 12.989997651525789, 77.59219122490104 12.990105163342605, 77.59217977928441 12.990214292032396, 77.59217925154334 12.99032399519657, 77.59218964673674 12.99043322494747, 77.59221086559005 12.990540937917189, 77.59224270544259 12.990646105222826, 77.5922848621825 12.990747722293891, 77.59233693315029 12.99084481846752, 77.59239842098408 12.990936466259958, 77.59246873836896 12.991021790225819, 77.59254721364601 12.991099975320449, 77.59263309722681 12.991170274685897, 77.59272556875247 12.991232016785185, 77.59282374492905 12.991284611817795, 77.59292668796407 12.991327557354476, 77.59303341452409 12.99136044313749, 77.59314290512724 12.991382955000613, 77.59325411388176 12.991394877871386, 77.5933659784766 12.991396097826724, 77.59347743032949 12.991386603182372, 77.59358740479495 12.99136648460582, 77.59369485133513 12.991335934251097, 77.5937987435557 12.991295243924387, 77.59389808901176 12.991244802297187, 77.59399193868914 12.991185091194344, 77.59407939607104 12.991116680991793, 77.59892412881057 12.986930991114999, 77.59900693617219 12.986851806100367, 77.59908117227386 12.986764830423589, 77.59914607916264 12.986670952090906, 77.59920099413907 12.986571129587915, 77.59924535652411 12.986466382092885, 77.59927871338424 12.986357779070243, 77.59930072415607 12.986246429350407, 77.5993111641235 12.986133469807621, 77.59930992671187 12.986020053751426, 77.59929702457525 12.985907339150469, 77.59890027527024 12.983531716704714))",128678.3347143978,12.986706092201237,77.59599054081102,4.27
"Mosque Road, Cleveland Town,Pulikeshi Nagar",Pulikeshi Nagar,"POLYGON ((77.61671658390357 12.994587198227174, 77.61673333436914 12.994478505386105, 77.61673932312667 12.994368735370678, 77.61673449442209 12.994258910413665, 77.61671889324178 12.99415005325761, 77.61669266489291 12.994043177629617, 77.61665605364942 12.993939278800314, 77.61660940047602 12.993839324314957, 77.61655313985207 12.993744244982805, 77.61648779572401 12.9936549262086, 77.61641397662522 12.993572199747545, 77.61633237000774 12.993496835959524, 77.61624373583939 12.993429536635933, 77.61614889952573 12.993370928464513, 77.61604874422274 12.993321557194454, 77.61594420261186 12.993281882555115, 77.61583624821425 12.993252273975592, 77.61572588632482 12.993233007145953, 77.61561414465072 12.993224261450887, 77.61550206374126 12.993226118300651, 77.61539068729864 12.993238560373864, 77.61528105245942 12.993261471780137, 77.6107187211489 12.994443106359162, 77.61061104573004 12.994476561947925, 77.61050719291916 12.994520114460107, 77.61040814464371 12.994573352078538, 77.61031483740156 12.994635771416112, 77.61022815340765 12.994706782275829, 77.61014891225358 12.994785713231364, 77.61007786315947 12.994871817975419, 77.61001567789111 12.994964282375907, 77.60996294440896 12.995062232173144, 77.60992016130986 12.995164741245526, 77.60988773311313 12.99527084036523, 77.60986596643602 12.995379526361559, 77.60985506709467 12.995489771605016, 77.609771135438 12.997202553194692, 77.60977111408691 12.997311481265367, 77.6097817031083 12.997419913300373, 77.60980280569076 12.997526857740143, 77.6098342288833 12.997631336625583, 77.60987568535883 12.997732394540158, 77.60992679604068 12.997829107346286, 77.60998709356781 12.997920590635939, 77.61005602656749 12.998006007817892, 77.6101329646963 12.998084577768225, 77.6102172044032 12.998155581973556, 77.61030797536219 12.99821837110196, 77.61040444751589 12.998272370941592, 77.61050573866522 12.998317087652408, 77.61061092253654 12.998352112282916, 77.61071903725158 12.998377124511341, 77.61082909412357 12.998391895575475, 77.61481165368392 12.998737166285862, 77.61492464010152 12.998741543122648, 77.61503752530177 12.998735127175545, 77.61514923968275 12.998717979205484, 77.61525872473071 12.998690261662075, 77.61536494305038 12.998652237145281, 77.61546688819553 12.998604265917947, 77.6155635942062 12.998546802493422, 77.6156541447625 12.998480391328929, 77.61573768186814 12.998405661667567, 77.6158134139811 12.998323321575791, 77.61588062351478 12.998234151234659, 77.61593867363824 12.998138995546755, 77.61598701431097 12.998038756130276, 77.61602518749532 12.997934382775279, 77.61605283149687 12.997826864443399, 77.61671658390357 12.994587198227174))",125098.0984693244,12.996153615956702,77.6133267170789,2.15
"Stephens Road,Pulikeshi Nagar",Pulikeshi Nagar,"POLYGON ((77.61902555566476 12.998012644712935, 77.61897227788474 12.997882040778979, 77.61890596999226 12.99775730515157, 77.61882729455688 12.997639684130426, 77.61873703771727 12.99753035291945, 77.61863610132397 12.997430403884898, 77.61852549392644 12.997340835641335, 77.61840632069419 12.997262543074646, 77.61827977237265 12.99719630840193, 77.61814711338452 12.997142793357668, 77.61800966919537 12.99710253258355, 77.6178688130697 12.997075928288826, 77.61772595235003 12.997063246233585, 77.61758251439579 12.99706461307571, 77.61743993232294 12.997080015107509, 77.61729963068629 12.997109298394635, 77.61716301124788 12.997152170316058, 77.6170314389733 12.997208202489302, 77.61690622839596 12.997276835051816, 77.61678863048544 12.997357382255773, 77.61667982015092 12.997449039320035, 77.61448259268776 12.999495613772071, 77.61438479052555 12.999596169374215, 77.61429757865186 12.99970569334307, 77.61422180742397 12.999823117743729, 77.61415821565072 12.999947297612431, 77.61410742338967 13.000077022119951, 77.61406992590186 13.000211026376427, 77.61404608882306 13.000348003763472, 77.61403614459837 13.000486618672916, 77.61404019021543 13.000625519528066, 77.61405818625764 13.00076335196132, 77.6140899572874 13.000898772018104, 77.61413519355513 13.001030459260463, 77.61419345401781 13.00115712964082, 77.6142641706374 13.001277548021896, 77.61434665391756 13.001390540219328, 77.61444009962469 13.001495004450804, 77.61454359662757 13.0015899220798, 77.6146561357799 13.001674367548182, 77.61477661975837 13.001747517402434, 77.61490387376108 13.001808658324144, 77.61790221270509 13.003073267210201, 77.61803707230028 13.003122447107025, 77.6181762763151 13.003158137958959, 77.61831842547538 13.003179980948946, 77.6184620908903 13.003187756457312, 77.61860582841608 13.003181386271375, 77.61874819317342 13.003160934374064, 77.61888775407277 13.0031266063024, 77.61902310820153 13.003078747083594, 77.61915289492781 13.003017837768168, 77.6192758095802 13.002944490595455, 77.61939061656423 13.002859442840569, 77.6194961617854 13.00276354940315, 77.61959138425217 13.00265777421418, 77.61967532674328 13.002543180545882, 77.61974714543175 13.002420920322907, 77.61980611836847 13.002292222541648, 77.61985165274059 13.00215838091505, 77.62001187018706 13.001594751988081, 77.62004352925842 13.001456988070004, 77.62006094856572 13.001316806368981, 77.62006395271678 13.001175618543776, 77.62005251148878 13.001034846382735, 77.62002674013148 13.000895907484221, 77.61998689820514 13.000760200979979, 77.61902555566476 12.998012644712935))",59390.40437762812,13.00027845040314,77.61730722682935,1.66
"7th Cross Road, Peace Layout,St Thomas Town",St Thomas Town,"POLYGON ((77.63532257080078 13.013005256652832, 77.6325454711914 13.013370513916016, 77.63069152832031 13.015660285949709, 77.6344284 13.0199617, 77.6368923 13.0187703, 77.6377702 13.0140674, 77.63532257080078 13.013005256652832))",384279.7761201561,13.016094034877334,77.63456200460014,1.69
"3rd A Main, HRBR Layout,Kalyan Nagar",Kalyan Nagar,"POLYGON ((77.63793941309817 13.019786527471044, 77.63791346082671 13.019731031981223, 77.63788214069895 13.01967826670561, 77.63784574814267 13.01962872933697, 77.63780462642941 13.019582887119967, 77.6377591634363 13.019541172444097, 77.63770978798715 13.019503978765295, 77.63765696580727 13.019471656895044, 77.63760119513056 13.019444511691676, 77.63754300199963 13.019422799184985, 77.63748293530412 13.019406724161842, 77.63742156160326 13.019396438234764, 77.63735945978206 13.019392038412438, 77.63729721559116 13.019393566185027, 77.63723541612228 13.019401007132952, 77.6371746442706 13.019414291063708, 77.63711547323739 13.01943329267391, 77.63705846112357 13.019457832731439, 77.63700414566618 13.019487679766458, 77.63695303916666 13.019522552254513, 77.63690562365919 13.019562121272246, 77.6324958678168 13.023619996394208, 77.63245179573475 13.023664773014186, 77.63241245480992 13.023713602827051, 77.63237823057509 13.023766007305964, 77.63234945842115 13.023821472894038, 77.63232642031069 13.023879456036816, 77.63230934201475 13.02393938850891, 77.6322983909005 13.024000682981919, 77.63229367429103 13.024062738780277, 77.63229523841345 13.024124947767135, 77.63230306794573 13.024186700303748, 77.6323170861666 13.024247391223897, 77.63233715570708 13.024306425763623, 77.6323630798964 13.024363225389983, 77.63239460468883 13.024417233470452, 77.63243142115296 13.024467920727574, 77.63247316849876 13.02451479042596, 77.63251943761286 13.02455738324026, 77.63256977506744 13.024595281756602, 77.63658281708561 13.027318039584129, 77.63663735027235 13.027351209482745, 77.63669499228173 13.027378867855091, 77.63675516559228 13.027400737577612, 77.63681726731849 13.027416599523416, 77.63688067525142 13.02742629475794, 77.63694475409257 13.027429726131997, 77.63700886181907 13.027426859255314, 77.63707235611668 13.027417722841792, 77.63713460081529 13.027402408422075, 77.63719497226334 13.027381069426651, 77.6372528655766 13.027353919649453, 77.63730770069915 13.027321231105349, 77.6373589282156 13.02728333130542, 77.63740603485607 13.027240599975386, 77.6374485486394 13.027193465251235, 77.63748604360241 13.027142399389302, 77.63751814406801 13.027087914034663, 77.63754452840962 13.027030555094473, 77.63756493227373 13.026970897268171, 77.63886955938926 13.022410399940556, 77.63888303213086 13.02235312296806, 77.63889098975163 13.02229486250309, 77.63889336267793 13.022236127945387, 77.63889013016677 13.022177432839626, 77.63888132048689 13.02211929038494, 77.63886701067156 13.022062208947693, 77.63884732584474 13.022006687616166, 77.63793941309817 13.019786527471044))",211979.5636005104,13.023511303753654,77.63609525904637,2.52
"Bethel Street, HRBR Layout,Kalyan Nagar",Kalyan Nagar,"POLYGON ((77.6438558612938 13.018982908811552, 77.64384467811843 13.01893661423432, 77.64382894651652 13.018891608810781, 77.64380881628935 13.018848321082096, 77.6437844791218 13.018807163232578, 77.6437561667571 13.018768527164955, 77.64372414878984 13.018732780768447, 77.64368873009859 13.018700264416042, 77.6436502479427 13.018671287723382, 77.64360906875083 13.018646126600581, 77.64356558463143 13.018625020625436, 77.64352020963923 13.018608170762274, 77.64347337583234 13.018595737448393, 77.64342552915835 13.018587839066816, 77.64337712520795 13.018584550819158, 77.6433286248768 13.018585904009948, 77.63772664218016 13.019011025839069, 77.63767915796761 13.0190168938911, 77.63763246914107 13.019027211243207, 77.63758700828771 13.019041882296396, 77.63754319661645 13.019060771113594, 77.6375014400554 13.019083702679264, 77.63746212549098 13.019110464521166, 77.63742561718365 13.019140808678712, 77.63739225339287 13.019174454001009, 77.63736234324332 13.019211088751307, 77.637336163861 13.01925037349561, 77.63731395780557 13.019291944247277, 77.63729593082317 13.019335415839784, 77.63728224994018 13.019380385494806, 77.63727304191563 13.019426436554369, 77.63726839206683 13.019473142340901, 77.63726834347877 13.019520070110511, 77.63727289660493 13.019566785062112, 77.6372820092628 13.019612854366276, 77.63729559702473 13.01965785117489, 77.63731353399989 13.019701358576253, 77.63886888964541 13.02300660551725, 77.63889185660628 13.023049638422163, 77.63891907640122 13.023090217161663, 77.63895027889342 13.02312793901082, 77.63898515441932 13.023162429596882, 77.63902335686161 13.02319334661459, 77.63906450708409 13.023220383223535, 77.63910819669408 13.023243271093559, 77.63915399209549 13.02326178306792, 77.63920143879183 13.023275735418004, 77.6392500658969 13.023284989666875, 77.639299390808 13.023289453963981, 77.64409066060429 13.023487838653361, 77.64414027248866 13.023487463275632, 77.64418959929087 13.023482242186148, 77.64423814994377 13.023472227356903, 77.64428544110605 13.023457518483548, 77.64433100197425 13.023438261993277, 77.64437437897004 13.023414649587247, 77.64441514025589 13.023386916332129, 77.64445288003456 13.023355338320247, 77.64448722258916 13.023320229920733, 77.64451782602376 13.023281940649948, 77.64454438566723 13.023240851692039, 77.6445666371068 13.0231973721036, 77.64458435882023 13.02315193474168, 77.64459737438136 13.023104991954021, 77.64460555421657 13.023057011075677, 77.64460881689467 13.023008469776354, 77.64460712993755 13.022959851304776, 77.64460051014343 13.022911639677554, 77.6438558612938 13.018982908811552))",227131.6695241481,13.021033352046835,77.64119455160711,2.41
