,id,name,lat,lng,category,source,number_of_votes,reviews_per_day
0,ChIJQXJsfNE9rjsR1EmZaZq1D94,Qmin - Orion Mall,13.010913848876951,77.55506134033203,coffee_shop,gmaps_v2,95,0.0005510696552044
1,ChIJ-dBZUxo9rjsR7pMykwz48Vc,Kake Di Hatti - Rajajinagar,13.003055572509766,77.54959106445312,restaurant,gmaps_v2,192,0.0004446657479995
2,ChIJ_SNAM4o9rjsRY77-3DSF1Vw,Dmart Ready,12.999549865722656,77.52467346191406,supermarket,gmaps_v2,18,0.0003957174577351
3,ChIJe9qj3xs9rjsRDN6CamLC-Co,The Rameshwaram Cafe @ Rajajinagar,13.008336067199709,77.55457305908203,restaurant,gmaps_v2,6126,0.0003846563918326
4,ChIJ53uzJFI9rjsRsk2X1pPn_jc,"Maiara ( Women""s couture)",12.991986274719238,77.5386962890625,clothing_store,gmaps_v2,53,0.0003521196941209
5,ChIJTxP0xoUXrjsR67mJ7s39hi4,Badmaash Lulu Mall,12.981327056884766,77.563232421875,restaurant,gmaps_v2,31,0.0003075000247983
6,ChIJqc6_h1kXrjsRz_rsaXasik4,SriStar Gold Company,13.008281707763672,77.57125854492188,jewelry_store,gmaps_v2,1902,0.0002753822195169
7,ChIJow5xjEUXrjsRiEEG70A3638,Dr Of Astro Gems And Jewels,12.998211860656738,77.56700897216797,jewelry_store,gmaps_v2,36,0.0002735936526272
8,ChIJ82NqvCUWrjsRC33A4yTYQWk,Central Tiffin Room,12.998143196105955,77.5695571899414,restaurant,gmaps_v2,31067,0.0002519254432055
9,18731537,Empire Restaurant,12.9976036742,77.5466628,restaurant,zomato,72900,0.0002507680416254
10,60432,Al-Bek,12.9779527233,77.5531101599,restaurant,zomato,71200,0.0002449202272116
11,18535584,Savi Sagar,13.0400963505,77.5188251585,restaurant,zomato,62300,0.0002143051988102
12,ChIJTWFuZiMWrjsRdDUNXVOejGU,GRT Jewellers,12.99385929107666,77.57173156738281,jewelry_store,gmaps_v2,6334,0.000185750976329
13,ChIJ7cHniA0XrjsRphFICM9bwX4,Mugdha - Malleshwaram - Luxury Saree Store in Bangalore,13.001771926879885,77.56925201416016,clothing_store,gmaps_v2,5055,0.0001806268340725
14,ChIJqfwgruQXrjsRZwG60y2swPc,SriStar Gold Mall - Jewellery Showroom,13.008234977722168,77.57105255126953,jewelry_store,gmaps_v2,1094,0.0001738431524787
15,ChIJoczph_oXrjsRBvq-x-c1RZQ,CaratLane Margosa Road,13.000850677490234,77.56922149658203,jewelry_store,gmaps_v2,422,0.0001711907125387
16,ChIJ5TQnYS8WrjsRWpZDMFOcWwg,C.Krishniah Chetty Jewellers,13.000396728515623,77.56922149658203,jewelry_store,gmaps_v2,2482,0.0001682018644654
17,ChIJS4tnGCQWrjsRxjyX4YmdJyI,Hallimane Restaurant,12.995495796203612,77.57178497314453,restaurant,gmaps_v2,23330,0.0001430812374604
18,ChIJs1OiG489rjsR3OA2ita5gm0,Hotel Sagar,12.996706008911133,77.55435180664062,restaurant,gmaps_v2,19392,0.0001426293901656
19,ChIJVebsyCEXrjsRp468TZERT4o,Malabar Gold and Diamonds - Malleshwaram - Bangalore,12.993208885192873,77.57160186767578,jewelry_store,gmaps_v2,5401,0.0001345542552104
20,ChIJUTet5sAXrjsRtGgjX96QdUg,NewU,13.029518127441406,77.57088470458984,clothing_store,gmaps_v2,272,0.0001262976268583
21,ChIJu3I7G109rjsR-uEJv4W-MAg,Empire Restaurant Rajajinagar,12.997612953186035,77.54667663574219,restaurant,gmaps_v2,17270,0.0001210768073477
22,53393,Al-Bek,12.9943570457,77.5715818629,restaurant,zomato,35000,0.0001203961791068
23,52459,CTR Shri Sagar,12.9980910894,77.5694723055,restaurant,zomato,34800,0.0001197082009405
24,ChIJK7_BVdsXrjsRsj9bRsn2aXs,Truffles - Sanjaynagar,13.02825164794922,77.57311248779297,restaurant,gmaps_v2,19685,0.0001082803242884
25,ChIJIVPQANwXrjsRZHx_VDjccq4,M Square Biryani,13.028675079345703,77.56227111816406,restaurant,gmaps_v2,287,0.0001073853829411
26,ChIJbyQyMQIXrjsRQfl6H8eQ5Wg,Bhima Jewellers,12.999727249145508,77.57122802734375,jewelry_store,gmaps_v2,3251,0.0001073384998006
27,ChIJbzXWOtQ9rjsRtPxvY9D0uj0,Sai Sogadu,13.000218391418455,77.55003356933594,restaurant,gmaps_v2,563,9.719604096182993e-05
28,60760,Priyadarshini Grand,12.9901462968,77.5377672538,restaurant,zomato,28000,9.631694328548788e-05
29,ChIJCawS47U9rjsRNO_wnS6VCXY,Kakal Kai Ruchi @ Rajajinagar,13.000823974609377,77.55280303955078,restaurant,gmaps_v2,654,9.562632390916904e-05
30,ChIJUcnzRGc9rjsRVfJU-sT5Q7k,Sri Mahalakshmi catering services,12.971799850463867,77.55703735351562,restaurant,gmaps_v2,290,8.782814031787124e-05
31,ChIJ1znC6y4WrjsRnHG7-SQMSz8,Veena Stores,13.005661010742188,77.56932067871094,restaurant,gmaps_v2,17659,8.701031831807749e-05
32,ChIJR9z_ekkXrjsRlIF8N3Qv0ZM,Haldiram's,12.981276512145996,77.56362915039062,restaurant,gmaps_v2,153,8.515630913632579e-05
33,ChIJHWGZnFA9rjsRX-X8-Y3QoPM,Kushal's Fashion Jewellery,13.010910987854004,77.5550537109375,jewelry_store,gmaps_v2,1182,8.356970763540784e-05
34,ChIJcRSlmWs9rjsRCn84mtvjlRo,"Maruti Suzuki ARENA (RNS Motors, Bengaluru, Yeshwanthpur)",13.027915954589844,77.54234313964844,coffee_shop,gmaps_v2,12976,8.175235981658062e-05
35,18643047,Leon's Burgers & Wings,13.0284745765,77.5717867166,restaurant,zomato,23000,7.911748912736506e-05
36,ChIJfRwzWg4XrjsRTyqiQE1YtAc,"Zudio - Mantri Square, Bengaluru",12.991643905639648,77.57054138183594,clothing_store,gmaps_v2,1255,7.599630857771244e-05
37,18480520,Le Arabia,12.9985510623,77.5423340499,restaurant,zomato,21700,7.464563104625312e-05
38,ChIJscSlML49rjsRFQiyBpjvASo,Priyadarshini Grand Hotel,12.990147590637209,77.53770446777344,restaurant,gmaps_v2,15889,7.266477417819634e-05
39,ChIJ80y7t8EXrjsRJoVFaNTKZCU,Prashanti Sarees - Malleshwaram,12.995245933532717,77.57160949707031,clothing_store,gmaps_v2,3797,7.203569008929486e-05
40,18657255,Wok Chow,13.0300078457,77.5627168268,restaurant,zomato,20400,7.017377296514117e-05
41,18503724,Hotel Karavali Food Point,12.9729712952,77.5399083272,restaurant,zomato,20200,6.948579479881627e-05
42,ChIJYZr60VEXrjsRMXg1QpIw7bs,Shree Organic world,13.000537872314451,77.57235717773438,coffee_shop,gmaps_v2,39,6.823478364324755e-05
43,ChIJ6QWgciUWrjsRthHKm4f442E,AL-BEK Restaurant,12.994261741638184,77.57169342041016,restaurant,gmaps_v2,15761,6.729597821155966e-05
44,ChIJAV62v3g9rjsRT7TFt6zi4Uk,Orion Mall Food Court,13.011700630187988,77.55490112304688,restaurant,gmaps_v2,12116,6.648040374872659e-05
45,ChIJXyPq4xAXrjsR5NLk4iOzn94,Punjab Grill,12.981531143188477,77.56309509277344,restaurant,gmaps_v2,1428,6.591744200442201e-05
46,19163639,Punjabi Nawabi,12.9855957067,77.5490623713,restaurant,zomato,18700,6.432595855137942e-05
47,18904536,Dhanalakshmi Grand,13.0081443064,77.571106106,restaurant,zomato,18700,6.432595855137942e-05
48,ChIJRfEI2DoWrjsRknzICVhGETE,Brand Factory Malleshwaram,12.99717903137207,77.57417297363281,shoe_store,gmaps_v2,13102,6.187303786746088e-05
49,ChIJb7B2tY8XrjsRoPHpsZcjjUU,Geometry Gastropub - New BEL Road,13.036745071411133,77.56599426269531,restaurant,gmaps_v2,892,6.180182386050636e-05
50,ChIJNUaRyrQXrjsR5hC6NjrDWs0,Barbecue By Punjab Grill Malleshwaram,12.991548538208008,77.57109832763672,restaurant,gmaps_v2,5616,6.164759047330014e-05
51,ChIJ_YGtTB89rjsR-Xy7j3qIucw,Wakefit Furniture Store - Basaveshwar Nagar,12.998283386230469,77.54071044921875,home_decor,gmaps_v2,689,5.987441666980232e-05
52,ChIJ1SPqPPE9rjsRF7XhzH3gZ3I,Nalapaka,12.99851131439209,77.55242919921875,restaurant,gmaps_v2,13513,5.955912889760408e-05
53,ChIJnRaS0isWrjsRmahk0N6NEd8,Snehajeevi Gowdara EggRice Adda,13.006010055541992,77.56486511230469,restaurant,gmaps_v2,10756,5.9222245090975e-05
54,ChIJDZzPjDk9rjsR6cjJw-Qgk3k,Green City - Bounce Infinity Showroom,12.99302577972412,77.55625915527344,shoe_store,gmaps_v2,70,5.861257340178166e-05
55,ChIJv8JObbc9rjsRaaqyA7UOfvo,HOTEL ADITYA,13.003973960876465,77.54351043701172,restaurant,gmaps_v2,5549,5.850403177018798e-05
56,ChIJzwJpfJkXrjsR9wW-SUOCWrE,"Tandoori Chulha, Asli Punjabi",13.027292251586914,77.57183074951172,restaurant,gmaps_v2,284,5.592349980288936e-05
57,ChIJpf2u1XE9rjsRTidHMI5RegU,RMC Yard,13.020758628845217,77.54691314697266,supermarket,gmaps_v2,11378,5.540977145232181e-05
58,60110,Savji's Roll 'N' Biryani,12.9715954795,77.5469417498,restaurant,zomato,15800,5.435027513966817e-05
59,ChIJZQBieioXrjsRLoEUGOWNg74,New Sudarshan Silks,12.999486923217772,77.56930541992188,clothing_store,gmaps_v2,679,5.386440623376978e-05
60,ChIJufjTM_M9rjsRE-_5DgJdnm4,"O.G. Variar and Sons, Variar Bakery",12.991384506225586,77.55455780029297,coffee_shop,gmaps_v2,10273,5.339282810984327e-05
61,ChIJheMRenk9rjsRTWq67gW1c98,Swathi Restaurant,12.99778652191162,77.54998779296875,restaurant,gmaps_v2,11970,5.339069757149803e-05
62,18022248,South Idlis,13.0079430762,77.5564146414,restaurant,zomato,15400,5.297431880701834e-05
63,18904625,New SLV Gowdru Hindu Miltry Hotel,13.0415634,77.5144934,restaurant,zomato,15300,5.263032972385588e-05
64,ChIJN-cPipA9rjsRB8rL87mXqHk,Kadamba Veg,12.997715950012209,77.54754638671875,restaurant,gmaps_v2,11220,5.249654157977581e-05
65,ChIJzcdRHSMWrjsRqN0RtF-wick,McDonald's,12.9917631149292,77.57064056396484,restaurant,gmaps_v2,9513,5.162476591264625e-05
66,ChIJO0S5rJI9rjsRRIyE9oedGUg,"O.G. Variar and Sons, Variar Bakery (Branch)",12.98753261566162,77.55013275146484,coffee_shop,gmaps_v2,9112,5.160949202094428e-05
67,18904100,Onesta,12.9975556513,77.5473474339,restaurant,zomato,14900,5.125437339120606e-05
68,ChIJjxO1z5o9rjsR2ZMb70BkKtA,Bhima Jewellers - Rajajinagar,13.000941276550291,77.5499267578125,jewelry_store,gmaps_v2,4848,4.9887599061433975e-05
69,51422,Nandhini Deluxe,13.0313134362,77.5702521577,restaurant,zomato,14400,4.9534427975393775e-05
