id,name,number_of_votes,rating,lat,lng,reviews_per_day,competitor_type,distance,type
ChIJJ6_LbZsZrjsRp64y0s1maGs,Starbucks,363,4.300000190734863,13.060235023498535,77.5875473022461,1.0401960941039967,anchor_competitor,0.39,anchor_competitor
ChIJJfie13EZrjsRrXlgq06eiV0,Chaayos Cafe Sahakar Nagar,332,4.400000095367432,13.059534072875977,77.58755493164062,0.9309716315371314,anchor_competitor,0.46,anchor_competitor
ChIJk0nikzQZrjsRL_cKIMRr7MQ,Aerofit- India's Leading Fitness Equipment Brand - Byatarayanapura,232,5.0,13.066463470458984,77.59291076660156,0.90693968485511,secondary_competitor,0.72,secondary_competitor
ChIJY12GqrEZrjsRGcjR-X3RPIU,Third Wave Coffee,142,4.699999809265137,13.061092376708984,77.58721923828125,0.8612729792661419,anchor_competitor,0.29,anchor_competitor
ChIJFYGA0ScZrjsR7rIYFWznFJE,Starbucks coffee,1134,4.300000190734863,13.09444808959961,77.59490966796875,0.725043678328587,anchor_competitor,3.51,anchor_competitor
ChIJe_YBwZoZrjsRyxMBVCAGTAg,Fitness edge prime,125,5.0,13.11412525177002,77.57893371582031,0.7188288361382412,secondary_competitor,5.65,secondary_competitor
ChIJJaMjL5wXrjsRdUHHvCzJ4sI,QUADZILLA FITNESS,680,4.900000095367432,13.04116439819336,77.57258605957031,0.6776521470766753,secondary_competitor,2.94,secondary_competitor
ChIJdTXC3lYYrjsR0oBcdrPmz3M,Café Coffee Day,2896,4.099999904632568,13.094996452331545,77.5973892211914,0.6554970666229624,anchor_competitor,3.65,anchor_competitor
ChIJ0YNw1SkXrjsRK8k7QCoOvOc,Fitness#PowerInU,153,5.0,13.053237915039062,77.60441589355469,0.6290395455223545,secondary_competitor,2.22,secondary_competitor
ChIJzyLmN2AXrjsRz99Vt-Mx7To,Third Wave Coffee,54,4.800000190734863,13.042312622070312,77.62071990966797,0.5294015524845767,anchor_competitor,4.36,anchor_competitor
ChIJW8P8t7gXrjsRjojVmE4_W_U,Café Coffee Day,1462,3.900000095367432,13.028298377990724,77.58628845214844,0.5268185042046808,anchor_competitor,3.91,anchor_competitor
