cluster_name,locality,polygon_updated,area,lat,lng,distance
"4th Cross Road, Phase 7,J P Nagar",J P Nagar,"POLYGON ((77.5810546875 12.886021614074709, 77.5790709 12.8920131, 77.58175659179688 12.895427703857422, 77.58345031738281 12.888662338256836, 77.5810546875 12.886021614074709))",261420.0672058761,12.890623703397068,77.58132066837149,2.14
"3rd Cross Road,JP Nagar",JP Nagar,"POLYGON ((77.58605194091797 12.910325050354004, 77.581787109375 12.917243957519531, 77.58673095703125 12.916810035705566, 77.58778381347656 12.912325859069824, 77.58605194091797 12.910325050354004))",253487.90774655345,12.914409743184992,77.58532399704963,1.18
"24th Cross Road,Banashankari Stage Ii",Banashankari Stage Ii,"POLYGON ((77.56378651539617 12.921586729802552, 77.56368307736909 12.921554381376916, 77.56357689774312 12.921532168012877, 77.56346900590435 12.921520305033688, 77.56336044783167 12.921518907417981, 77.56325227595676 12.92152798868597, 77.56314553896178 12.921547460769695, 77.56304127161307 12.92157713486767, 77.56294048473075 12.92161672327651, 77.56284415538991 12.921665842180596, 77.56275321744943 12.921724015373703, 77.56266855249974 12.921790678876299, 77.56259098131731 12.92186518640287, 77.56252125590866 12.921946815627726, 77.56246005222093 12.922034775187425, 77.56240796358968 12.92212821235212, 77.56236549498765 12.922226221291993, 77.56233305812955 12.922327851858027, 77.5623109674811 12.922432118792594, 77.56229943721027 12.922538011280091, 77.56211015439162 12.925782187140612, 77.56210939284371 12.925890985565667, 77.56211977853012 12.92599930858833, 77.56214120637979 12.926106060094806, 77.56217345958882 12.926210159869816, 77.5622162118132 12.926310554526935, 77.56226903046988 12.92640622816662, 77.56233138111274 12.926496212656323, 77.5624026328392 12.92657959742655, 77.56248206467308 12.926655538685083, 77.56256887285899 12.92672326795576, 77.56403223735597 12.927751532125706, 77.56412530557553 12.927810230151369, 77.56422390252847 12.927859483831147, 77.56432703546187 12.927898797205627, 77.56443366594331 12.9279277744007, 77.56454272031668 12.927946123614563, 77.5646531005124 12.927953660057392, 77.5647636951044 12.927950307813177, 77.56487339050143 12.92793610060537, 77.56498108216057 12.92791118145871, 77.56508568570976 12.927875801259946, 77.56518614786765 12.927830316232692, 77.56528145705028 12.927775184351457, 77.56776104237179 12.926171106340027, 77.56785069312947 12.926106515681095, 77.56793325367022 12.92603339398878, 77.56800788383562 12.92595248534696, 77.56807382416943 12.925864613084599, 77.56813040364679 12.925770671397423, 77.56817704650354 12.9256716162477, 77.56821327809593 12.925568455635467, 77.56855660140626 12.92440305385354, 77.56858179282983 12.924298224273526, 77.56859623103726 12.924191456908297, 77.56859977288497 12.924083810371501, 77.5685923832717 12.923976351992632, 77.56857413548586 12.923870147233272, 77.56854521047813 12.923766249122258, 77.56850589506627 12.923665687813987, 77.56845657909008 12.923569460373756, 77.56839775154496 12.923478520891472, 77.56832999573219 12.923393771021512, 77.56825398347415 12.923316051042995, 77.56817046845202 12.923246131528396, 77.56808027873184 12.923184705703989, 77.5679843085533 12.92313238257722, 77.56788350946267 12.923089680899169, 77.56378651539617 12.921586729802552))",137281.58770003542,12.924741329394758,77.56500985103305,3.61
"Outer Ring Road, Banashankari 8 Block,Banashankari",Banashankari,"POLYGON ((77.5528335571289 12.922099113464355, 77.5501937866211 12.922200202941896, 77.5474574 12.9274252, 77.55216217041016 12.929014205932615, 77.55562591552734 12.92298984527588, 77.5528335571289 12.922099113464355))",402322.42503768206,12.925282341260292,77.55149412594453,4.92
"31st Cross Road, 4th Block Jaya Nagar,Jayanagar",Jayanagar,"POLYGON ((77.58393096923828 12.924749374389648, 77.580810546875 12.927573204040527, 77.58165740966797 12.929268836975098, 77.58623504638672 12.930789947509766, 77.58824157714844 12.925186157226562, 77.58393096923828 12.924749374389648))",341314.81250970066,12.927525408862529,77.58466302692243,2.48
"28th Cross Road, 7th Block Jaya Nagar,Jayanagar",Jayanagar,"POLYGON ((77.5807397678116 12.929029007003413, 77.58076134842588 12.928899253353027, 77.58076983467781 12.928768048127923, 77.58076514455654 12.928636659646907, 77.58074732342727 12.928506357997545, 77.58071654359186 12.928378402757296, 77.5806731026217 12.92825403081659, 77.58061742047968 12.928134444421358, 77.58055003545887 12.928020799550708, 77.58047159897713 12.927914194742211, 77.58038286927835 12.927815660472753, 77.58028470410109 12.927726149197596, 77.58017805238548 12.927646526143965, 77.58006394509879 12.927577560948157, 77.57994348526834 12.927519920217216, 77.5798178373183 12.927474161086309, 77.57968821581298 12.927440725834852, 77.57955587371633 12.927419937613081, 77.57942209028022 12.927411997320096, 77.57928815867918 12.927416981663647, 77.5791553735111 12.927434842420372, 77.57902501828416 12.92746540690385, 77.57537821296411 12.928508755252745, 77.57524835034577 12.92855298922696, 77.57512369000986 12.928609827496159, 77.57500549966528 12.92867869201121, 77.57489498122182 12.928758882428921, 77.57479325856929 12.928849583234625, 77.5747013661503 12.928949872035817, 77.57462023844205 12.929058728942032, 77.57455070045494 12.929175046936091, 77.57449345934383 12.929297643131042, 77.57444909721778 12.929425270798088, 77.57441806522084 12.929556632043905, 77.57440067894422 12.929690391007947, 77.57439711521684 12.929825187445664, 77.57443525088773 12.93135104887519, 77.57444537520097 12.93148419151357, 77.57446898558828 12.931615680129754, 77.57450584669131 12.931744203795501, 77.57455559104575 12.93186848113692, 77.57461772274301 12.931987273108637, 77.57469162237258 12.932099395346476, 77.57477655319545 12.932203729975082, 77.57487166848735 12.93229923675332, 77.57497601997875 12.932384963445896, 77.57508856730739 12.932460055317678, 77.57520818838907 12.932523763656814, 77.5753336906039 12.932575453240634, 77.57546382268586 12.932614608670365, 77.57559728719747 12.93264083951181, 77.57573275346556 12.932653884189598, 77.57586887084841 12.932653612597301, 77.57895117054235 12.932496290187265, 77.57908754533139 12.932482557926209, 77.57922182457465 12.932455460078783, 77.5793526502855 12.932415270643668, 77.57947869939643 12.932362396019826, 77.57959869714124 12.932297370897832, 77.57971142994838 12.932220852853822, 77.57981575771612 12.932133615699517, 77.57991062534424 12.932036541657283, 77.5799950734063 12.93193061243784, 77.58006824785382 12.931816899311576, 77.5801294086551 12.931696552274197, 77.58017793727993 12.931570788415195, 77.5802133429558 12.931440879608443, 77.5807397678116 12.929029007003413))",77765.78515383974,12.930212095101792,77.57757840660823,3.09
"Arekere Mico Layout Main Road,Panduranga Nagar",Panduranga Nagar,"POLYGON ((77.59820276262931 12.887044080719043, 77.59816223944026 12.886919366635496, 77.59810947899079 12.886799138146323, 77.59804498709597 12.886684547789178, 77.5979693820308 12.886576694045642, 77.5978833886011 12.886476610810707, 77.597787831194 12.886385257481722, 77.597683625873 12.88630350976196, 77.59757177159523 12.886232151266396, 77.59745334063363 12.88617186601117, 77.5973294682972 12.88612323185736, 77.59720134204674 12.886086714973564, 77.59707019011147 12.886062665368156, 77.596937269715 12.886051313536212, 77.59680385502388 12.886052768251576, 77.59667122493383 12.886067015525951, 77.59654065081139 12.886093918744534, 77.59641338430762 12.886133219977353, 77.59629064536152 12.886184542452835, 77.59617361050712 12.886247394170644, 77.59606340159723 12.886321172619136, 77.59596107505119 12.886405170550942, 77.59586761172986 12.88649858276318, 77.59578390753495 12.886600513815768, 77.59571076482247 12.886709986614546, 77.59564888471274 12.886825951776899, 77.59559886037067 12.886947297690131, 77.59556117132033 12.887072861165727, 77.59469904750462 12.890568033745806, 77.59467457844532 12.890692955725399, 77.59466232245667 12.890819593709345, 77.5946623905164 12.890946801193474, 77.59467478203173 12.891073426515492, 77.59469938484403 12.891198323280664, 77.59473597624299 12.891320360739481, 77.59478422498175 12.891438434023987, 77.59484369427442 12.891551474149958, 77.59662129549882 12.894568891411454, 77.59669431932394 12.894679816310848, 77.59677814122205 12.89478313329713, 77.59687194353693 12.894877834478633, 77.59697481124648 12.894962996004246, 77.59708574088738 12.895037787076182, 77.59720365034242 12.895101478055865, 77.5973273893957 12.895153447582551, 77.59745575095225 12.895193188636677, 77.59758748281305 12.895220313487401, 77.59772129989045 12.89523455747681, 77.5978558967447 12.895235781603654, 77.59798996031957 12.895223973881127, 77.59812218275256 12.895199249455626, 77.59825127413478 12.895161849484845, 77.59837597509596 12.89511213878703, 77.59849506909185 12.89505060228273, 77.59860739427388 12.894977840265483, 77.59871185482545 12.894894562546062, 77.5988074316538 12.89480158152835, 77.5988931923337 12.894699804283599, 77.59896830020521 12.894590223701574, 77.59903202253705 12.894473908803302, 77.59908373767593 12.894351994311403, 77.59912294111194 12.89422566957915, 77.59953492777694 12.892616800863516, 77.59956169687128 12.892484218017449, 77.5995746839655 12.892349661173292, 77.5995737563495 12.89221450555682, 77.59955892353221 12.892080132511067, 77.59953033714349 12.89194791537664, 77.59820276262931 12.887044080719043))",77868.54397465289,12.890873673526064,77.59713735029304,1.8
"Kodichikkanahalli Main Road, Mulki Sundar Ram Shetty Nagar,Bilekahalli",Bilekahalli,"POLYGON ((77.61263479628757 12.891524459310626, 77.61254791088396 12.891406385487466, 77.61244944067181 12.891297414215313, 77.61234037019172 12.891198634950115, 77.61222178995696 12.891111035239428, 77.61209488554864 12.8910354908504, 77.61196092576078 12.890972757015028, 77.61182124991379 12.890923460881421, 77.61167725446334 12.890888095245753, 77.61153037903863 12.89086701362747, 77.61138209204918 12.890860426737161, 77.61123387600482 12.89086840037227, 77.61108721269488 12.890890854761626, 77.61094356837523 12.890927565364986, 77.61080437911086 12.89097816511981, 77.61067103642068 12.891042148112657, 77.60825255872153 12.892353458664326, 77.60812860615982 12.89242868437831, 77.60801277049977 12.892515471960689, 77.60790616829982 12.892612984810992, 77.60780982711496 12.892720282951501, 77.60772467559363 12.892836332087471, 77.60765153452786 12.89296001357686, 77.6075911089424 12.893090135211978, 77.60754398129997 12.89322544271062, 77.60751060588717 12.893364631805118, 77.60749130443557 12.893506360812907, 77.60748626302035 12.89364926356784, 77.60749553026584 12.893791962587663, 77.60751901687586 12.893933082350038, 77.60755649649306 12.894071262550613, 77.60760760787913 12.894205171214049, 77.6076718583951 12.894333517532399, 77.6077486287478 12.894455064307099, 77.60783717895747 12.894568639874338, 77.60793665548847 12.89467314939947, 77.6080460994749 12.894767585430676, 77.61002613023074 12.896313782537659, 77.61014755556992 12.89639917687654, 77.61027711519519 12.89647216620281, 77.61041349699634 12.896532011256419, 77.61055531975798 12.896578105891825, 77.61070114714721 12.896609983219054, 77.61084950226017 12.89662732033454, 77.61099888257979 12.896629941593778, 77.61114777519381 12.896617820392484, 77.61129467211815 12.89659107943846, 77.61143808557112 12.896549989510975, 77.61157656304346 12.896494966720033, 77.61170870201107 12.896426568293814, 77.61183316414206 12.896345486936402, 77.6119486888537 12.896252543812595, 77.61205410608186 12.896148680231757, 77.61214834813353 12.896034948114306, 77.61223046050252 12.895912499337093, 77.61229961153848 12.895782574066482, 77.61235510087103 12.895646488196679, 77.61315977701871 12.893343060361143, 77.61320101229732 12.89320230274122, 77.61322762918283 12.89305819400633, 77.61323935854065 12.89291219141757, 77.61323608178903 12.892765771385386, 77.61321783209712 12.892620414538241, 77.61318479404827 12.892477590748292, 77.61313730177154 12.89233874426663, 77.61307583556099 12.89220527911719, 77.6130010170165 12.89207854489852, 77.61263479628757 12.891524459310626))",45777.424557857215,12.8936637328366,77.6105937934597,2.42
"Aurobindo Marg (24th Main), KR Layout,JP Nagar",JP Nagar,"POLYGON ((77.58494437612883 12.902479964838665, 77.5848589233311 12.90241596970195, 77.58476750091124 12.902360478863933, 77.5846709852339 12.902314024220686, 77.58457030148014 12.902277051046655, 77.58446641477886 12.902249913727148, 77.58436032095474 12.902232872362346, 77.58425303698282 12.90222609027544, 77.58414559124026 12.902229632448025, 77.58403901364917 12.90224346489824, 77.58393432580475 12.902267455007765, 77.58383253118363 12.902301372794009, 77.58373460552576 12.902344893115265, 77.58364148748257 12.902397598788225, 77.58355406962053 12.902458984587247, 77.58347318986668 12.902528462087826, 77.5833996234777 12.902605365306533, 77.58333407560964 12.902688957085157, 77.58327717455975 12.902778436156346, 77.5832294657447 12.902872944823311, 77.58217661776129 12.905243756567728, 77.5821379280248 12.905344296686351, 77.58210964300487 12.905448118224589, 77.58209204423358 12.905554187836106, 77.58208530688549 12.905661449799291, 77.58208949803375 12.90576883652379, 77.58210457598206 12.905875279175751, 77.58213039067874 12.905979718314738, 77.5821666852094 12.906081114438168, 77.58221309835274 12.906178458326796, 77.58226916817497 12.906270781089237, 77.58233433662585 12.906357163805351, 77.58240795509207 12.906436746672265, 77.58248929085164 12.90650873756257, 77.5858594669833 12.909205078299431, 77.58594601545879 12.909267659098663, 77.58603838806592 12.909321636957547, 77.58613569923963 12.90936649436472, 77.5862370160627 12.909401801243577, 77.58634136720912 12.90942721907644, 77.58644775225613 12.90944250415125, 77.58655515127536 12.909447509899023, 77.58666253461125 12.90944218830012, 77.58676887275297 12.909426590345829, 77.58687314620508 12.909400865550596, 77.58697435526256 12.909365260519305, 77.58707152959599 12.90932011658417, 77.58716373755549 12.909265866532673, 77.58725009510368 12.909203030459054, 77.58732977429237 12.909132210778, 77.58740201120123 12.909054086449665, 77.58895903122946 12.90719477449827, 77.58902275820273 12.907110638898729, 77.5890778478347 12.907020825827512, 77.58912377852242 12.906926185651008, 77.58916011538504 12.906827614441966, 77.58918651438155 12.906726045494446, 77.58920272556854 12.90662244048625, 77.58920859546637 12.906517780373182, 77.58920406851226 12.906413056099861, 77.5891891875858 12.90630925921665, 77.5891640936022 12.906207372490606, 77.58912902417727 12.906108360599854, 77.58908431137672 12.906013160999205, 77.5890303785709 12.90592267504391, 77.58896773642523 12.905837759455185, 77.58889697806399 12.905759218208685, 77.58881877345345 12.905687794922326, 77.58494437612883 12.902479964838665))",138234.08697617054,12.905930273554786,77.58552767384927,0.77
"1st Main Road, Industrial Area,BTM Layout",BTM Layout,"POLYGON ((77.59868621826172 12.90578842163086, 77.59381103515625 12.906047821044922, 77.59812927246094 12.914580345153809, 77.60112762451172 12.915163040161133, 77.6037826538086 12.911112785339355, 77.59868621826172 12.90578842163086))",625401.285497427,12.910212245057265,77.59894343709495,0.8
