id,name,lat,lng,cid,brand_id,brand_name,number_of_votes,place_url,source,category,top_category,type,created_at,date,number_of_reviews,url,reviews_per_day
18724948,Jaganath Hotel And Restaurant,12.9069052705,77.594945915,18724948,zomato_jaganath_hotel_and_restaurant,Jaganath Hotel And Restaurant,28700,,zomato,restaurant,food,N_A,1688639100,1539714600.0,1684,,8.325292346121692
18304733,Pallavi North Indian Veg Restaurant,12.9061238783,77.5902195275,18304733,N_A,N_A,17500,,zomato,restaurant,food,N_A,1688639100,1462300200.0,3176,,3.3401240352409594
ChIJM5837HgWrjsR_XGq95yp1ZY,Livspace,12.906137466430664,77.59114837646484,0x3bae1678ec379f33:0x96d5a99cf7aa71fd,livspace,Livspace,7352,https://www.google.com/maps/place/?q=place_id:ChIJM5837HgWrjsR_XGq95yp1ZY,gmaps_v2,home_decor,retail,furniture_store,1695212099,1468169683.0,7906,https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=en&gl=in&pb=!1m2!1y4300399402800357171!2y10868779767363695101!2m2!2i10!3sCAESB0VnTUkzRDA=!3e2!4m5!3b1!4b1!6b1!7b1!20b1!5m2!1sPsrQZPb9H5adseMPzOi5IA!7e81,2.797771496582383
18975675,Potful - Claypot Biryanis,12.9060212611,77.5958390906,18975675,zomato_potful_-_claypot_biryanis,Potful - Claypot Biryanis,8538,,zomato,restaurant,food,N_A,1688639100,1551897000.0,1698,,2.6973521687907382
ChIJB5IRc0QVrjsRLI4rEbfInd0,Societe Rangoon,12.906639099121094,77.58963775634766,0x3bae154473119207:0xdd9dc8b7112b8e2c,N_A,N_A,58,https://www.google.com/maps/place/?q=place_id:ChIJB5IRc0QVrjsRLI4rEbfInd0,gmaps_v2,restaurant,food,N_A,1699615207,1697542829.0,211,https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=en&gl=in&pb=!1m2!1y4300398077917893127!2y15969140542318284332!2m2!2i10!3sCAESB0VnTUkwZ0U=!3e2!4m5!3b1!4b1!6b1!7b1!20b1!5m2!1sPsrQZPb9H5adseMPzOi5IA!7e81,2.4180916801857575
ChIJF6el5CUVrjsRyZNDr5kewHQ,JAMMING GOAT 3.0,12.906132698059082,77.58973693847656,0x3bae1525e4a5a717:0x74c01e99af4393c9,N_A,N_A,895,https://www.google.com/maps/place/?q=place_id:ChIJF6el5CUVrjsRyZNDr5kewHQ,gmaps_v2,restaurant,food,N_A,1699615207,1666952619.0,1002,https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=en&gl=in&pb=!1m2!1y4300397946679437079!2y8412757749347357641!2m2!2i10!3sCAESB0VnTUk2QWM=!3e2!4m5!3b1!4b1!6b1!7b1!20b1!5m2!1sPsrQZPb9H5adseMPzOi5IA!7e81,2.367479270166834
18663900,California Burrito,12.9061068843,77.5904793665,18663900,zomato_california_burrito,California Burrito,8241,,zomato,restaurant,food,N_A,1688639100,1521052200.0,2228,,2.1243378808248137
ChIJCX6MvmwVrjsRYJRBPVVJeyk,Yuki - Pan Asian Kitchen and Bar,12.906126976013184,77.58975982666016,0x3bae156cbe8c7e09:0x297b49553d419460,N_A,N_A,621,https://www.google.com/maps/place/?q=place_id:ChIJCX6MvmwVrjsRYJRBPVVJeyk,gmaps_v2,restaurant,food,N_A,1699615207,1673267888.0,756,https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=en&gl=in&pb=!1m2!1y4300398250982931977!2y2989063408139211872!2m2!2i10!3sCAESB0VnTUk3Z1U=!3e2!4m5!3b1!4b1!6b1!7b1!20b1!5m2!1sPsrQZPb9H5adseMPzOi5IA!7e81,2.0364273116365275
ChIJE3BgTxEVrjsR2v1NmmKKKq0,Raja Gobi JP Nagar,12.905519485473633,77.5915756225586,0x3bae15114f607013:0xad2a8a629a4dfdda,N_A,N_A,4060,https://www.google.com/maps/place/?q=place_id:ChIJE3BgTxEVrjsR2v1NmmKKKq0,gmaps_v2,restaurant,food,N_A,1699615207,1512493475.0,4153,https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=en&gl=in&pb=!1m2!1y4300397858275749907!2y12477937873683611098!2m2!2i10!3sCAESB0VnTUl0aUE=!3e2!4m5!3b1!4b1!6b1!7b1!20b1!5m2!1sPsrQZPb9H5adseMPzOi5IA!7e81,1.8746299334168197
ChIJi-Zp3xAVrjsROTG6aYtRG2I,Starbucks Coffee,12.906020164489746,77.59383392333984,0x3bae1510df69e68b:0x621b518b69ba3139,starbucks,Starbucks,4488,https://www.google.com/maps/place/?q=place_id:ChIJi-Zp3xAVrjsROTG6aYtRG2I,gmaps_v2,coffee_shop,food,N_A,1695212099,1416727907.0,4495,https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=en&gl=in&pb=!1m2!1y4300397856397321867!2y7069333699304239417!2m2!2i10!3sCAESB0VnTUlpaU0=!3e2!4m5!3b1!4b1!6b1!7b1!20b1!5m2!1sPsrQZPb9H5adseMPzOi5IA!7e81,1.3924065032746993
