id,name,lat,lng,cid,brand_id,brand_name,number_of_votes,rating,place_url,source,category,top_category,type,created_at,number_of_reviews,date,url,reviews_per_day
18767303,Imperio Restaurant,13.0242075696,77.6431576163,18767303,zomato_imperio_restaurant,Imperio Restaurant,77900,4.0,,zomato,restaurant,food,N_A,1688639100,10124,1534962600.0,,21.89846853617827
ChIJcW4gxdIZrjsRd8QUzarn5TY,GRT Jewellers,13.100046157836914,77.59808349609375,0x3bae19d2c5206e71:0x36e5e7aacd14c477,grtjewels,GRT Jewellers,1189,4.900000095367432,https://www.google.com/maps/place/?q=place_id:ChIJcW4gxdIZrjsRd8QUzarn5TY,gmaps_v2,jewelry_store,retail,N_A,1687847039,4953,1677603802.0,https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=en&gl=in&pb=!1m2!1y4300403087226465905!2y3955822568485995639!2m2!2i10!3sCAESB0VnTUkxaVk=!3e2!4m5!3b1!4b1!6b1!7b1!20b1!5m2!1sPsrQZPb9H5adseMPzOi5IA!7e81,10.029017194466944
ChIJ19ZPCycYrjsRMhZUT_42f5U,Swathi Gardenia,13.059048652648926,77.5931167602539,0x3bae18270b4fd6d7:0x957f36fe4f541632,swathigroup,swathigroup,18462,3.900000095367432,https://www.google.com/maps/place/?q=place_id:ChIJ19ZPCycYrjsRMhZUT_42f5U,gmaps_v2,restaurant,food,N_A,1699615207,18828,1507043527.0,https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=en&gl=in&pb=!1m2!1y4300401250157975255!2y10772389299574019634!2m2!2i10!3sCAESCEVnUUlyb1VC!3e2!4m5!3b1!4b1!6b1!7b1!20b1!5m2!1sPsrQZPb9H5adseMPzOi5IA!7e81,8.283236662836405
18784055,Aattutheeram Kerala Restaurant,13.0650992782,77.6460202038,18784055,N_A,N_A,25500,4.1,,zomato,restaurant,food,N_A,1688639100,2862,1536949800.0,,7.262212957670712
ChIJ9Wd9RJgZrjsRcfCk3Vb-XQA,Malik Furnitures & Interior,13.062400817871094,77.64940643310547,0x3bae1998447d67f5:0x5dfe56dda4f071,N_A,N_A,149,5.0,https://www.google.com/maps/place/?q=place_id:ChIJ9Wd9RJgZrjsRcfCk3Vb-XQA,gmaps_v2,home_decor,retail,N_A,1695212099,328,1693404355.0,https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=en&gl=in&pb=!1m2!1y4300402835960195061!2y26456821873307761!2m2!2i10!3sCAESB0VnTUl3QUk=!3e2!4m5!3b1!4b1!6b1!7b1!20b1!5m2!1sPsrQZPb9H5adseMPzOi5IA!7e81,7.121362316788217
ChIJ63U63_gXrjsR5Q6T1AFaSYY,The Arogya Cafe,13.040624618530272,77.62049102783203,0x3bae17f8df3a75eb:0x86495a01d4930ee5,N_A,N_A,1112,4.199999809265137,https://www.google.com/maps/place/?q=place_id:ChIJ63U63_gXrjsR5Q6T1AFaSYY,gmaps_v2,restaurant,food,N_A,1699615207,1359,1685718629.0,https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=en&gl=in&pb=!1m2!1y4300401051849881067!2y9676364238290095845!2m2!2i10!3sCAESB0VnTUl4Z28=!3e2!4m5!3b1!4b1!6b1!7b1!20b1!5m2!1sPsrQZPb9H5adseMPzOi5IA!7e81,6.913702063918182
18987973,Leon's Burgers & Wings,13.0636782501,77.5906413049,18987973,zomato_leon's_burgers_&_wings,Leon's Burgers & Wings,20000,4.1,,zomato,restaurant,food,N_A,1688639100,3291,1550687400.0,,6.263061636790268
ChIJO7zyW_gZrjsRJLZ_yGyKev8,Decathlon Hennur Road,13.06590175628662,77.65235900878906,0x3bae19f85bf2bc3b:0xff7a8a6cc87fb624,decathlon,Decathlon,15889,4.400000095367432,https://www.google.com/maps/place/?q=place_id:ChIJO7zyW_gZrjsRJLZ_yGyKev8,gmaps_v2,clothing_store,retail,N_A,1706767070,15901,1477676624.0,https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=en&gl=in&pb=!1m2!1y4300403248670620731!2y18409178626655237668!2m2!2i10!3sCAESB0VnTUluSHc=!3e2!4m5!3b1!4b1!6b1!7b1!20b1!5m2!1sPsrQZPb9H5adseMPzOi5IA!7e81,5.992434970422119
ChIJL7KnJfEXrjsRLvn-BaXCj30,"AB's - Absolute Barbecues | Kalyan Nagar, Bangalore",13.026633262634276,77.63377380371094,0x3bae17f125a7b22f:0x7d8fc2a505fef92e,absolutebarbecues,Absolute Barbecues,11189,4.400000095367432,https://www.google.com/maps/place/?q=place_id:ChIJL7KnJfEXrjsRLvn-BaXCj30,gmaps_v2,restaurant,food,N_A,1699615207,11705,1527407302.0,https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=en&gl=in&pb=!1m2!1y4300401018671706671!2y9047664190436604206!2m2!2i10!3sCAESB0VnTUl0RnM=!3e2!4m5!3b1!4b1!6b1!7b1!20b1!5m2!1sPsrQZPb9H5adseMPzOi5IA!7e81,5.613735327655255
18904628,Kadak Biryanis & Grill,13.0660575123,77.5983164459,18904628,N_A,N_A,18600,3.7,,zomato,restaurant,food,N_A,1688639100,1748,1545503400.0,,5.613693858345612
ChIJtyVW9skZrjsRlr16LVvVMKk,OnePlus Exclusive Service Center,13.094649314880373,77.59518432617188,0x3bae19c9f65625b7:0xa930d55b2d7abd96,oneplus,OnePlus India,2129,4.800000190734863,https://www.google.com/maps/place/?q=place_id:ChIJtyVW9skZrjsRlr16LVvVMKk,gmaps_v2,electronic_store,retail,N_A,1695212099,2178,1659072160.0,https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=en&gl=in&pb=!1m2!1y4300403049397364151!2y12191478778873691542!2m2!2i10!3sCAESB0VnTUktaEE=!3e2!4m5!3b1!4b1!6b1!7b1!20b1!5m2!1sPsrQZPb9H5adseMPzOi5IA!7e81,5.089814899798253
ChIJlw7V9WgXrjsRoYOCPAp2FTo,Kake Di Hatti Hennur,13.0637845993042,77.64976501464844,0x3bae1768f5d50e97:0x3a15760a3c8283a1,kakedihatti,Kake Di Hatti,787,4.5,https://www.google.com/maps/place/?q=place_id:ChIJlw7V9WgXrjsRoYOCPAp2FTo,gmaps_v2,restaurant,food,N_A,1699615207,1193,1686211866.0,https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=en&gl=in&pb=!1m2!1y4300400433753820823!2y4185381215047680929!2m2!2i10!3sCAESB0VnTUlwZ2s=!3e2!4m5!3b1!4b1!6b1!7b1!20b1!5m2!1sPsrQZPb9H5adseMPzOi5IA!7e81,5.0731231862264785
ChIJh2Q-JCkZrjsRH9wB4yppSg8,The Krishna Cafe,13.076624870300291,77.63345336914062,0x3bae1929243e6487:0xf4a692ae301dc1f,N_A,N_A,1763,4.099999904632568,https://www.google.com/maps/place/?q=place_id:ChIJh2Q-JCkZrjsRH9wB4yppSg8,gmaps_v2,restaurant,food,N_A,1699615207,2108,1669459498.0,https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=en&gl=in&pb=!1m2!1y4300402358677824647!2y1101808691763600415!2m2!2i10!3sCAESB0VnTUl0QkE=!3e2!4m5!3b1!4b1!6b1!7b1!20b1!5m2!1sPsrQZPb9H5adseMPzOi5IA!7e81,5.051222639136092
ChIJ8biIVHEXrjsRgN5HRGvabx4,Peepai Kitchen & Brewery,13.055708885192873,77.59307861328125,0x3bae17715488b8f1:0x1e6fda6b4447de80,N_A,N_A,2790,4.400000095367432,https://www.google.com/maps/place/?q=place_id:ChIJ8biIVHEXrjsRgN5HRGvabx4,gmaps_v2,restaurant,food,N_A,1699615207,3015,1649820571.0,https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=en&gl=in&pb=!1m2!1y4300400469702392049!2y2193211697794637440!2m2!2i10!3sCAESB0VnTUl3aGM=!3e2!4m5!3b1!4b1!6b1!7b1!20b1!5m2!1sPsrQZPb9H5adseMPzOi5IA!7e81,4.84100335626512
ChIJdeIlUMsZrjsRzuSSX9QEuwA,Akshatha Nati style@Amruthahalli,13.06612491607666,77.59838104248047,0x3bae19cb5025e275:0xbb04d45f92e4ce,N_A,N_A,32,4.699999809265137,https://www.google.com/maps/place/?q=place_id:ChIJdeIlUMsZrjsRzuSSX9QEuwA,gmaps_v2,restaurant,food,N_A,1699615207,296,1699032113.0,https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=en&gl=in&pb=!1m2!1y4300403055199117941!2y52641130827932878!2m2!2i10!3sCAESB0VnTUlvZ0k=!3e2!4m5!3b1!4b1!6b1!7b1!20b1!5m2!1sPsrQZPb9H5adseMPzOi5IA!7e81,4.741602554648136
ChIJaTv6sCIXrjsRKOrhaJKo_e0,Chulha Chauki da Dhaba | Kalyan Nagar Restaurant,13.024930953979492,77.63162231445312,0x3bae1722b0fa3b69:0xedfda89268e1ea28,chulhachaukidadhaba,Chulha Chauki Da Dhaba,10749,4.300000190734863,https://www.google.com/maps/place/?q=place_id:ChIJaTv6sCIXrjsRKOrhaJKo_e0,gmaps_v2,restaurant,food,N_A,1699615207,10898,1502302544.0,https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=en&gl=in&pb=!1m2!1y4300400131950918505!2y17149048302875044392!2m2!2i10!3sCAESB0VnTUlpbFU=!3e2!4m5!3b1!4b1!6b1!7b1!20b1!5m2!1sPsrQZPb9H5adseMPzOi5IA!7e81,4.706811949519936
ChIJiyl9bCAYrjsRceK7GDOXKzA,"More Hypermart Sahakar Nagar, Bangalore",13.057913780212402,77.59188079833984,0x3bae18206c7d298b:0x302b973318bbe271,moreretail,More Retail,13175,4.199999809265137,https://www.google.com/maps/place/?q=place_id:ChIJiyl9bCAYrjsRceK7GDOXKzA,gmaps_v2,supermarket,retail,N_A,1699615207,13260,1422162125.0,https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=en&gl=in&pb=!1m2!1y4300401221723564427!2y3471034183533191793!2m2!2i10!3sCAESB0VnTUl3bWM=!3e2!4m5!3b1!4b1!6b1!7b1!20b1!5m2!1sPsrQZPb9H5adseMPzOi5IA!7e81,4.102747721504856
ChIJ-SvNN9AZrjsREapjg3v2oYc,"AB's - Absolute Barbecues | Yelahanka, Bangalore",13.091989517211914,77.5938720703125,0x3bae19d037cd2bf9:0x87a1f67b8363aa11,absolutebarbecues,Absolute Barbecues,6527,4.400000095367432,https://www.google.com/maps/place/?q=place_id:ChIJ-SvNN9AZrjsREapjg3v2oYc,gmaps_v2,restaurant,food,N_A,1699615207,6727,1550920271.0,https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=en&gl=in&pb=!1m2!1y4300403076265487353!2y9773363676716444177!2m2!2i10!3sCAESB0VnTUl3RFE=!3e2!4m5!3b1!4b1!6b1!7b1!20b1!5m2!1sPsrQZPb9H5adseMPzOi5IA!7e81,3.792548792650208
18417519,De Grand Restaurant,13.0664987429,77.6400157437,18417519,N_A,N_A,17500,3.6,,zomato,restaurant,food,N_A,1688639100,2690,1485455400.0,,3.7207709082962857
ChIJe9XAw0MZrjsRfloWw-fLmFQ,Nandhana Palace - Andhra Style Restaurant - Hennur,13.06962776184082,77.65174865722656,0x3bae1943c3c0d57b:0x5498cbe7c3165a7e,nandhanarestaurants,Nandhana Palace,2250,4.5,https://www.google.com/maps/place/?q=place_id:ChIJe9XAw0MZrjsRfloWw-fLmFQ,gmaps_v2,restaurant,food,N_A,1699615207,2739,1646372094.0,https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=en&gl=in&pb=!1m2!1y4300402473023100283!2y6095846291916872318!2m2!2i10!3sCAESB0VnTUlxaFU=!3e2!4m5!3b1!4b1!6b1!7b1!20b1!5m2!1sPsrQZPb9H5adseMPzOi5IA!7e81,3.6511764441722256
ChIJ58j4S0wXrjsRmK1ydMqCq_0,Croma - Nagavara,13.044321060180664,77.62599182128906,0x3bae174c4bf8c8e7:0xfdab82ca7472ad98,croma,Croma,378,4.800000190734863,https://www.google.com/maps/place/?q=place_id:ChIJ58j4S0wXrjsRmK1ydMqCq_0,gmaps_v2,electronic_store,retail,N_A,1687847039,865,1678886314.0,https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=en&gl=in&pb=!1m2!1y4300400310644951271!2y18278847318661967256!2m2!2i10!3sCAESB0VnTUkzQVk=!3e2!4m5!3b1!4b1!6b1!7b1!20b1!5m2!1sPsrQZPb9H5adseMPzOi5IA!7e81,3.6447050880369614
ChIJawXWNYIZrjsR0FlX618uQ98,"The Sleep Company Experience Store - Yelahanka, Bangalore",13.094578742980955,77.59502410888672,0x3bae198235d6056b:0xdf432e5feb5759d0,thesleepcompany,The Sleep Company,253,4.900000095367432,https://www.google.com/maps/place/?q=place_id:ChIJawXWNYIZrjsR0FlX618uQ98,gmaps_v2,home_decor,retail,mattress_store,1695212099,615,1688801004.0,https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=en&gl=in&pb=!1m2!1y4300402741225063787!2y16087753283402684880!2m2!2i10!3sCAESB0VnTUk0Z1E=!3e2!4m5!3b1!4b1!6b1!7b1!20b1!5m2!1sPsrQZPb9H5adseMPzOi5IA!7e81,3.4095891575464097
ChIJp-rPBCQYrjsRqxwLdqfDEWo,The Druid Garden,13.063612937927246,77.59127044677734,0x3bae182404cfeaa7:0x6a11c3a7760b1cab,N_A,N_A,8622,4.199999809265137,https://www.google.com/maps/place/?q=place_id:ChIJp-rPBCQYrjsRqxwLdqfDEWo,gmaps_v2,restaurant,food,N_A,1699615207,8735,1478870347.0,https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=en&gl=in&pb=!1m2!1y4300401237164026535!2y7643105166631836843!2m2!2i10!3sCAESB0VnTUlta1E=!3e2!4m5!3b1!4b1!6b1!7b1!20b1!5m2!1sPsrQZPb9H5adseMPzOi5IA!7e81,3.3746688371362303
