,id,name,lat,lng,cid,brand_id,brand_name,number_of_votes,rating,place_url,source,category,top_category,type,created_at,competitor_type
77,ChIJ2WTLIaQirjsRcKLq0kWfO5g,Cosmos Fitness Gym Pvt Ltd,13.071249961853027,77.55602264404297,0x3bae22a421cb64d9:0x983b9f45d2eaa270,N_A,N_A,270,4.0,https://www.google.com/maps/place/?q=place_id:ChIJ2WTLIaQirjsRcKLq0kWfO5g,gmaps_v2,gym_fitness,leisure,N_A,1687847039,secondary_competitor
87,ChIJnU2Kn7IXrjsRjgsNuGviGxk,Mithun's Fitness Factory,13.060925483703612,77.58746337890625,0x3bae17b29f8a4d9d:0x191be26bb80d0b8e,N_A,N_A,89,5.0,https://www.google.com/maps/place/?q=place_id:ChIJnU2Kn7IXrjsRjgsNuGviGxk,gmaps_v2,gym_fitness,leisure,N_A,1687847039,secondary_competitor
123,ChIJn-Fau8sZrjsRvZSl15_ExCs,The Art Of Living Happiness Center,13.063152313232422,77.58309936523438,0x3bae19cbbb5ae19f:0x2bc4c49fd7a594bd,artofliving,Art of Living,0,0.0,https://www.google.com/maps/place/?q=place_id:ChIJn-Fau8sZrjsRvZSl15_ExCs,gmaps_v2,gym_fitness,leisure,wellness_centre,1695212099,primary_competitor
154,ChIJu6t4MK4ZrjsRCeeCekVuSq8,M S FITNESS CLUB,13.07132053375244,77.56774139404297,0x3bae19ae3078abbb:0xaf4a6e457a82e709,N_A,N_A,119,4.5,https://www.google.com/maps/place/?q=place_id:ChIJu6t4MK4ZrjsRCeeCekVuSq8,gmaps_v2,gym_fitness,leisure,N_A,1687847039,secondary_competitor
340,ChIJ0YNw1SkXrjsRK8k7QCoOvOc,Fitness#PowerInU,13.053237915039062,77.60441589355469,0x3bae1729d57083d1:0xe7bc0e2a403bc92b,N_A,N_A,153,5.0,https://www.google.com/maps/place/?q=place_id:ChIJ0YNw1SkXrjsRK8k7QCoOvOc,gmaps_v2,gym_fitness,leisure,N_A,1687847039,secondary_competitor
548,ChIJY12GqrEZrjsRGcjR-X3RPIU,Third Wave Coffee,13.061092376708984,77.58721923828125,0x3bae19b1aa865d63:0x853cd17df9d1c819,thirdwavecoffee,Third Wave Coffee,142,4.699999809265137,https://www.google.com/maps/place/?q=place_id:ChIJY12GqrEZrjsRGcjR-X3RPIU,gmaps_v2,coffee_shop,food,N_A,1687847039,anchor_competitor
650,ChIJpYwQtpcXrjsR2S0a75W37QI,Abhiva Fitness,13.0364351272583,77.59385681152344,0x3bae1797b6108ca5:0x2edb795ef1a2dd9,N_A,N_A,226,4.300000190734863,https://www.google.com/maps/place/?q=place_id:ChIJpYwQtpcXrjsR2S0a75W37QI,gmaps_v2,gym_fitness,leisure,N_A,1687847039,secondary_competitor
854,ChIJw_VD6C0ZrjsRsJ4O72oxgMA,Tycoon Fitness Club,13.14444637298584,77.61792755126953,0x3bae192de843f5c3:0xc080316aef0e9eb0,N_A,N_A,177,4.199999809265137,https://www.google.com/maps/place/?q=place_id:ChIJw_VD6C0ZrjsRsJ4O72oxgMA,gmaps_v2,gym_fitness,leisure,N_A,1687847039,secondary_competitor
1026,ChIJ7W0-PpgXrjsRdrj74UddmMg,SPYSS Vidyanjali Academy for Learning School Branch,13.036426544189451,77.5980224609375,0x3bae17983e3e6ded:0xc8985d47e1fbb876,spyss,Shri Pathanjali Yoga Shikshana Samiti,3,4.300000190734863,https://www.google.com/maps/place/?q=place_id:ChIJ7W0-PpgXrjsRdrj74UddmMg,gmaps_v2,gym_fitness,leisure,N_A,1687847039,primary_competitor
1090,ChIJdeecmVMWrjsRPIm42tyyU8E,"Anil Balloon Decorations - Balloon Decoration, Birthday, Naming ceremony, surprise, balloon,",13.108946800231934,77.58058166503906,0x3bae1653999ce775:0xc153b2dcdab8893c,N_A,N_A,59,4.699999809265137,https://www.google.com/maps/place/?q=place_id:ChIJdeecmVMWrjsRPIm42tyyU8E,gmaps_v2,gym_fitness,leisure,N_A,1687847039,secondary_competitor
1181,ChIJPUCsCCcYrjsR_KKjZgv9mU8,Tapasya Yogashala,13.059662818908691,77.59310150146484,0x3bae182708ac403d:0x4f99fd0b66a3a2fc,N_A,N_A,119,4.800000190734863,https://www.google.com/maps/place/?q=place_id:ChIJPUCsCCcYrjsR_KKjZgv9mU8,gmaps_v2,gym_fitness,leisure,N_A,1687847039,secondary_competitor
