id,name,lat,lng,cid,brand_id,brand_name,number_of_votes,place_url,source,category,top_category,type,created_at,date,number_of_reviews,url,reviews_per_day
ChIJlb8QkIwXrjsRGUxSwTzIMhQ,Lulu Mall Bengaluru,12.981744766235352,77.56378936767578,0x3bae178c9010bf95:0x1432c83cc1524c19,lulumall,lulumall,28438,https://www.google.com/maps/place/?q=place_id:ChIJlb8QkIwXrjsRGUxSwTzIMhQ,gmaps_v2,coffee_shop,food,N_A,1687847039,1681036953.0,39898,https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=en&gl=in&pb=!1m2!1y4300400586665279381!2y1455445792861080601!2m2!2i10!3sCAESCEVnUUlyb1VC!3e2!4m5!3b1!4b1!6b1!7b1!20b1!5m2!1sPsrQZPb9H5adseMPzOi5IA!7e81,360.7947388623286
ChIJ441Kr5I9rjsRm-EYn-cfOhE,Narayana Nethralaya Eye Hospital,13.011795997619627,77.55216979980469,0x3bae3d92af4a8de3:0x113a1fe79f18e19b,narayananethralaya,Narayana Nethralaya,53561,https://www.google.com/maps/place/?q=place_id:ChIJ441Kr5I9rjsRm-EYn-cfOhE,gmaps_v2,hospital,medical,N_A,1695212099,1672197763.0,57389,https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=en&gl=in&pb=!1m2!1y4300442394400820707!2y1241339726961107355!2m2!2i10!3sCAESCEVnUUlyb1VC!3e2!4m5!3b1!4b1!6b1!7b1!20b1!5m2!1sPsrQZPb9H5adseMPzOi5IA!7e81,201.07772824729767
18731537,Empire Restaurant,12.9976036742,77.5466628,18731537,zomato_empire_restaurant,Empire Restaurant,72900,,zomato,restaurant,food,N_A,1688639100,1531074600.0,15705,,39.97448663880506
ChIJbQb8IPs9rjsR4j-RbzJFroA,GT World Mall,12.973810195922852,77.55158996582031,0x3bae3dfb20fc066d:0x80ae45326f913fe2,N_A,N_A,45514,https://www.google.com/maps/place/?q=place_id:ChIJbQb8IPs9rjsR4j-RbzJFroA,gmaps_v2,shopping_mall,retail,N_A,1687847039,1571939349.0,46508,https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=en&gl=in&pb=!1m2!1y4300442842984875629!2y9272424765724901346!2m2!2i10!3sCAESCEVnUUlyb1VC!3e2!4m5!3b1!4b1!6b1!7b1!20b1!5m2!1sPsrQZPb9H5adseMPzOi5IA!7e81,33.927081110839154
18535584,Savi Sagar,13.0400963505,77.5188251585,18535584,N_A,N_A,62300,,zomato,restaurant,food,N_A,1688639100,1500489000.0,4770,,28.608648095323893
60432,Al-Bek,12.9779527233,77.5531101599,60432,zomato_al-bek,Al-Bek,71200,,zomato,restaurant,food,N_A,1688639100,1427653800.0,7832,,23.570982733510277
ChIJ82NqvCUWrjsRC33A4yTYQWk,Central Tiffin Room,12.998143196105955,77.5695571899414,0x3bae1625bc6a63f3:0x6941d824e3c07d0b,N_A,N_A,31067,https://www.google.com/maps/place/?q=place_id:ChIJ82NqvCUWrjsRC33A4yTYQWk,gmaps_v2,restaurant,food,N_A,1699615207,1576378640.0,31901,https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=en&gl=in&pb=!1m2!1y4300399045516092403!2y7584580900420091147!2m2!2i10!3sCAESCEVnUUlyb1VC!3e2!4m5!3b1!4b1!6b1!7b1!20b1!5m2!1sPsrQZPb9H5adseMPzOi5IA!7e81,21.780781997927612
ChIJe9qj3xs9rjsRDN6CamLC-Co,The Rameshwaram Cafe @ Rajajinagar,13.008336067199709,77.55457305908203,0x3bae3d1bdfa3da7b:0x2af8c2626a82de0c,therameshwaramcafe,The Rameshwaram Cafe,6126,https://www.google.com/maps/place/?q=place_id:ChIJe9qj3xs9rjsRDN6CamLC-Co,gmaps_v2,restaurant,food,N_A,1699615207,1673883039.0,7599,https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=en&gl=in&pb=!1m2!1y4300441884110871163!2y3096438471766760972!2m2!2i10!3sCAESB0VnTUlwanM=!3e2!4m5!3b1!4b1!6b1!7b1!20b1!5m2!1sPsrQZPb9H5adseMPzOi5IA!7e81,20.569055821491606
ChIJj9VQyNE9rjsRsVrZQsVMFmM,Vaishnavi Sapphire Centre,13.024006843566896,77.54891967773438,0x3bae3dd1c850d58f:0x63164cc542d95ab1,N_A,N_A,30888,https://www.google.com/maps/place/?q=place_id:ChIJj9VQyNE9rjsRsVrZQsVMFmM,gmaps_v2,shopping_mall,retail,N_A,1687847039,1549191991.0,31864,https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=en&gl=in&pb=!1m2!1y4300442665403602319!2y7139978669356309169!2m2!2i10!3sCAESCEVnUUlyb1VC!3e2!4m5!3b1!4b1!6b1!7b1!20b1!5m2!1sPsrQZPb9H5adseMPzOi5IA!7e81,19.24721269434056
ChIJ7cHniA0XrjsRphFICM9bwX4,Mugdha - Malleshwaram - Luxury Saree Store in Bangalore,13.001771926879885,77.56925201416016,0x3bae170d88e7c1ed:0x7ec15bcf084811a6,mugdha,Mugdha,5055,https://www.google.com/maps/place/?q=place_id:ChIJ7cHniA0XrjsRphFICM9bwX4,gmaps_v2,clothing_store,retail,N_A,1687847039,1657898804.0,5735,https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=en&gl=in&pb=!1m2!1y4300400041084305901!2y9133682464039375270!2m2!2i10!3sCAESB0VnTUk0aXc=!3e2!4m5!3b1!4b1!6b1!7b1!20b1!5m2!1sPsrQZPb9H5adseMPzOi5IA!7e81,14.583563939577742
19163639,Punjabi Nawabi,12.9855957067,77.5490623713,19163639,zomato_punjabi_nawabi,Punjabi Nawabi,18700,,zomato,restaurant,food,N_A,1688639100,1567276200.0,2399,,13.312799875414974
ChIJS4tnGCQWrjsRxjyX4YmdJyI,Hallimane Restaurant,12.995495796203612,77.57178497314453,0x3bae162418678b4b:0x22279d89e1973cc6,N_A,N_A,23330,https://www.google.com/maps/place/?q=place_id:ChIJS4tnGCQWrjsRxjyX4YmdJyI,gmaps_v2,restaurant,food,N_A,1699615207,1536597870.0,23585,https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=en&gl=in&pb=!1m2!1y4300399038469475147!2y2461108936902130886!2m2!2i10!3sCAESCEVnUUlyb1VC!3e2!4m5!3b1!4b1!6b1!7b1!20b1!5m2!1sPsrQZPb9H5adseMPzOi5IA!7e81,12.365016120954055
ChIJs1OiG489rjsR3OA2ita5gm0,Hotel Sagar,12.996706008911133,77.55435180664062,0x3bae3d8f1ba253b3:0x6d82b9d68a36e0dc,N_A,N_A,19392,https://www.google.com/maps/place/?q=place_id:ChIJs1OiG489rjsR3OA2ita5gm0,gmaps_v2,restaurant,food,N_A,1699615207,1563794216.0,19964,https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=en&gl=in&pb=!1m2!1y4300442379038643123!2y7891073828199522524!2m2!2i10!3sCAESCEVnUUlyb1VC!3e2!4m5!3b1!4b1!6b1!7b1!20b1!5m2!1sPsrQZPb9H5adseMPzOi5IA!7e81,12.335860515109921
18643047,Leon's Burgers & Wings,13.0284745765,77.5717867166,18643047,zomato_leon's_burgers_&_wings,Leon's Burgers & Wings,23000,,zomato,restaurant,food,N_A,1688639100,1518114600.0,3062,,11.65345742107439
18904536,Dhanalakshmi Grand,13.0081443064,77.571106106,18904536,zomato_dhanalakshmi_grand,Dhanalakshmi Grand,18700,,zomato,restaurant,food,N_A,1688639100,1545762600.0,240,,11.308227735141887
18657255,Wok Chow,13.0300078457,77.5627168268,18657255,zomato_wok_chow,Wok Chow,20400,,zomato,restaurant,food,N_A,1688639100,1523730600.0,2535,,10.688108860368022
ChIJu3I7G109rjsR-uEJv4W-MAg,Empire Restaurant Rajajinagar,12.997612953186035,77.54667663574219,0x3bae3d5d1b3b72bb:0x830be85bf09e1fa,hotelempire,Hotel Empire,17270,https://www.google.com/maps/place/?q=place_id:ChIJu3I7G109rjsR-uEJv4W-MAg,gmaps_v2,restaurant,food,N_A,1699615207,1557472781.0,18209,https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=en&gl=in&pb=!1m2!1y4300442164283536059!2y590181032830558714!2m2!2i10!3sCAESCEVnUUlyb1VC!3e2!4m5!3b1!4b1!6b1!7b1!20b1!5m2!1sPsrQZPb9H5adseMPzOi5IA!7e81,10.497414754972594
18503724,Hotel Karavali Food Point,12.9729712952,77.5399083272,18503724,N_A,N_A,20200,,zomato,restaurant,food,N_A,1688639100,1519929000.0,2811,,10.344845981360926
60760,Priyadarshini Grand,12.9901462968,77.5377672538,60760,N_A,N_A,28000,,zomato,restaurant,food,N_A,1688639100,1433010600.0,5024,,9.463733503893346
18480520,Le Arabia,12.9985510623,77.5423340499,18480520,N_A,N_A,21700,,zomato,restaurant,food,N_A,1688639100,1490207400.0,4699,,9.44849033697741
ChIJK7_BVdsXrjsRsj9bRsn2aXs,Truffles - Sanjaynagar,13.02825164794922,77.57311248779297,0x3bae17db55c1bf2b:0x7b69f6c9465b3fb2,truffles,Truffles,19685,https://www.google.com/maps/place/?q=place_id:ChIJK7_BVdsXrjsRsj9bRsn2aXs,gmaps_v2,restaurant,food,N_A,1699615207,1517908249.0,19957,https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=en&gl=in&pb=!1m2!1y4300400924989439787!2y8892910283548999602!2m2!2i10!3sCAESCEVnUUlyb1VC!3e2!4m5!3b1!4b1!6b1!7b1!20b1!5m2!1sPsrQZPb9H5adseMPzOi5IA!7e81,9.360037825298908
18904625,New SLV Gowdru Hindu Miltry Hotel,13.0415634,77.5144934,18904625,N_A,N_A,15300,,zomato,restaurant,food,N_A,1688639100,1545849000.0,1038,,9.25778467834955
