id,name,lat,lng,brand_name,brand_id,number_of_votes,rating,cost_for_two
19488150,Creams & Bites,12.9885794,77.5595199,Creams & Bites,zomato_creams_&_bites,0,3.5,400
18582491,Mitti Cafe,13.0355392,77.5319307,N_A,N_A,480,3.7,800
19425896,SLAY Coffee,13.038817,77.564599,SLAY Coffee,zomato_slay_coffee,1007,4.1,300
52920,Chowmein,12.9893155075,77.5784546882,N_A,N_A,901,4.0,800
18699323,Kesariya,13.0051261627,77.5839408115,N_A,N_A,244,4.0,1200
19265757,Sardarji Londonwaley,12.9855865591,77.5490435958,Sardarji Londonwaley,zomato_sardarji_londonwaley,5976,3.7,800
19269962,Plan B,13.028296228,77.5723365694,Plan B,zomato_plan_b,1264,4.2,1300
19440102,Dr. Sheesha,13.008396824,77.5489594415,N_A,N_A,179,4.0,800
18552851,Cinders Rooftop Barbeque,13.0281949678,77.5587260351,N_A,N_A,284,4.0,1500
19550781,Canyin,13.0272214,77.5717985,Canyin,zomato_canyin,185,3.9,800
18390995,Hatch,13.0238766717,77.5483763963,N_A,N_A,249,3.4,1200
50879,Sea Rock,12.9868789888,77.5791507214,N_A,N_A,1447,4.3,1000
18480520,Le Arabia,12.9985510623,77.5423340499,N_A,N_A,21700,4.1,1000
53513,Subway,12.9917640901,77.5706732646,Subway,zomato_subway,1401,3.0,400
19051784,Sree Udupi Grand,12.9848132543,77.5681050494,Sree Udupi Grand,zomato_sree_udupi_grand,52,3.6,300
52729,Bun World,13.0090299134,77.5628013164,N_A,N_A,496,4.0,300
18499701,Gulbarga Refreshment,12.9930587745,77.5550618023,N_A,N_A,1781,3.8,300
19100115,Rajanna Military Hotel,12.9885774977,77.5481014699,Rajanna Military Hotel,zomato_rajanna_military_hotel,4461,3.8,300
58904,Gundappa Donne Biryani,12.9978728634,77.5812163576,Gundappa Donne Biryani,zomato_gundappa_donne_biryani,2196,3.8,300
18629670,Happy Hours,12.9871129061,77.57859651,Happy Hours,zomato_happy_hours,597,3.8,300
19767124,Shiva's Military Hotel,12.9967645,77.5803442,N_A,N_A,204,3.8,300
18697605,LV Venkateshwara Jolada Rotti Oota,12.9993877009,77.5726376474,N_A,N_A,1599,4.1,300
58949,The Higher Taste Stores,13.0084933,77.570475,N_A,N_A,483,3.9,300
55688,Hotel Savajis,13.0000952971,77.5525120273,N_A,N_A,188,3.7,300
18811064,Flodeis,12.9735969605,77.5446152687,N_A,N_A,845,3.7,300
18798784,RR Dum Biryani,12.9932854987,77.5508316234,N_A,N_A,4,3.6,300
19655705,Suguna Kabab Corner,12.9690989967,77.5443477184,N_A,N_A,840,4.1,300
18547241,Donne Biryani House,12.9947105245,77.5713863969,Donne Biryani House,zomato_donne_biryani_house,7055,3.9,300
20147597,Shawarma Grill House,12.996868,77.551239,Shawarma Grill House,zomato_shawarma_grill_house,47,3.9,300
19539137,Udupi Ahara,13.0085552598,77.5434186682,N_A,N_A,1160,3.8,300
58362,Jay Jagannath Bengali Mess,13.0294724765,77.5619651377,N_A,N_A,2522,3.6,300
18658166,Sunaina Sapice,13.0308759,77.5622319,N_A,N_A,73,3.4,300
19426524,Big Boss Combo,13.0353670272,77.5643948838,N_A,N_A,259,3.9,300
19600457,Moonlight Restaurant,13.0340333672,77.5672584772,N_A,N_A,53,3.5,300
55694,Mallnad Hotel,13.0091050478,77.5383717567,N_A,N_A,295,3.7,300
19094752,Taran Sagar,13.01945867,77.5392116234,N_A,N_A,137,3.9,300
18494073,A1 Ambur Dum Biryani And Parota Centre,13.0009280104,77.5409272313,N_A,N_A,11,3.6,300
19256482,Cafe Crispy Day,13.0180279065,77.5314711034,N_A,N_A,9,4.0,300
19139001,Kitty's Corner,13.0292908622,77.5618648902,N_A,N_A,1374,3.9,350
18730881,Karnataka Biryani Point,13.0010965782,77.5370715559,Karnataka Biryani Point,zomato_karnataka_biryani_point,831,3.9,400
20288748,Qmin,13.01106,77.55504,N_A,N_A,16,3.8,500
18746600,The World Cafe,13.0119781029,77.5562128052,N_A,N_A,82,3.6,800
18614340,California Burrito,13.0111640468,77.5543935969,California Burrito,zomato_california_burrito,4304,4.0,300
18486737,Ice Fort,12.9867362207,77.5399244204,N_A,N_A,813,4.2,300
19137475,Belgian Waffle Factory,13.0275289359,77.5716495886,Belgian Waffle Factory,zomato_belgian_waffle_factory,1250,3.9,400
56600,Shahi Darbar Roll Centre,13.0325710038,77.5656139478,N_A,N_A,64,3.8,400
55860,Shradhi Lunch Home,13.0125935432,77.5438434631,N_A,N_A,4,3.9,400
20249500,7th Heaven,12.9863938384,77.5412839651,N_A,N_A,36,3.7,400
18503724,Hotel Karavali Food Point,12.9729712952,77.5399083272,N_A,N_A,20200,3.8,400
