x_pixel,y_pixel,total_population,h3index_lvl11,f_0,f_1,f_10,f_15,f_20,f_25,f_30,f_35,f_40,f_45,f_5,f_50,f_55,f_60,f_65,f_70,f_75,f_80,m_0,m_1,m_10,m_15,m_20,m_25,m_30,m_35,m_40,m_45,m_5,m_50,m_55,m_60,m_65,m_70,m_75,m_80,h3index_lvl3,geometry
11318,26980,433.22992,8b61892eb4eafff,3.0840282,11.7964,12.716721,15.153351,21.799015,25.17553,20.702147,17.671776,13.26835,12.256734,12.5443735,10.54544,8.863112,6.638509,4.8882847,2.9217854,2.14666,,3.3884523,12.983325,13.995949,16.138865,24.680525,28.371885,25.976444,21.256397,15.692234,13.450164,13.789822,10.698092,9.530514,7.0188403,5.058876,2.8485575,2.0230863,1.7850266,836189fffffffff,"POLYGON ((77.61791637127 13.01708348227, 77.61791637127 13.0179168156, 77.61708303794 13.0179168156, 77.61708303794 13.01708348227, 77.61791637127 13.01708348227))"
11355,26974,38.973347,8b61892c5272fff,0.27743906,1.0612037,1.1439956,1.3631948,1.9610385,2.2647896,1.8623643,1.5897522,1.1936202,1.1026152,1.1284914,0.94866735,0.7973252,0.5972,0.4397499,0.2628437,0.19311348,,0.30482504,1.1679795,1.259075,1.4518516,2.220259,2.5523336,2.33684,1.9122247,1.4116728,1.2099762,1.2405318,0.96239996,0.8573646,0.6314146,0.4550963,0.25625613,0.18199676,0.16058092,836189fffffffff,"POLYGON ((77.64874970448 13.02208348225, 77.64874970448 13.02291681558, 77.64791637115 13.02291681558, 77.64791637115 13.02208348225, 77.64874970448 13.02208348225))"
11371,26971,39.37659,8b61892c5191fff,0.28030962,1.0721836,1.1558322,1.3772994,1.9813286,2.2882226,1.8816335,1.6062009,1.2059703,1.1140237,1.1401675,0.9584829,0.8055749,0.603379,0.44429982,0.26556325,0.19511154,,0.30797896,1.1800641,1.2721022,1.4668734,2.2432313,2.5787418,2.3610184,1.9320098,1.426279,1.2224954,1.2533672,0.9723576,0.8662355,0.6379477,0.459805,0.25890753,0.18387982,0.1622424,836189fffffffff,"POLYGON ((77.66208303775998 13.02458348224, 77.66208303775998 13.02541681557, 77.66124970442999 13.02541681557, 77.66124970442999 13.02458348224, 77.66208303775998 13.02458348224))"
11322,26996,493.1107,8b61892eb880fff,3.5103006,13.426891,14.474418,17.247837,24.81206,28.655275,23.563583,20.114357,15.102293,13.950851,14.27825,12.003024,10.088166,7.5560794,5.56394,3.3256326,2.4433703,,3.856802,14.777872,15.93046,18.369568,28.09185,32.29343,29.56689,24.194443,17.861206,15.3092375,15.695843,12.176776,10.8478155,7.9889803,5.758111,3.2422833,2.302716,2.0317519,836189fffffffff,"POLYGON ((77.62124970458999 13.003750148990001, 77.62124970458999 13.004583482320001, 77.62041637125999 13.004583482320001, 77.62041637125999 13.003750148990001, 77.62124970458999 13.003750148990001))"
11329,26973,396.67896,8b61892cc836fff,2.8238332,10.801156,11.643829,13.874886,19.959864,23.051508,18.955538,16.180834,12.148919,11.2226515,11.486024,9.655737,8.115344,6.078428,4.4758673,2.6752787,1.9655497,,3.1025736,11.887941,12.815131,14.777252,22.598265,25.978191,23.78485,19.463026,14.368304,12.315393,12.626395,9.79551,8.7264385,6.4266715,4.6320662,2.608229,1.8524016,1.6344265,836189fffffffff,"POLYGON ((77.6270830379 13.02291681558, 77.6270830379 13.02375014891, 77.62624970457 13.02375014891, 77.62624970457 13.02291681558, 77.6270830379 13.02291681558))"
11346,26990,40.887516,8b61892ea818fff,0.29106542,1.1133245,1.2001828,1.4301479,2.0573545,2.3760245,1.9538339,1.6678326,1.2522447,1.15677,1.183917,0.995261,0.8364857,0.62653136,0.46134812,0.27575323,0.2025982,,0.31979647,1.2253445,1.3209143,1.523159,2.3293066,2.6776912,2.4516134,2.0061433,1.4810069,1.269404,1.3014604,1.0096681,0.89947397,0.6624265,0.47744828,0.2688421,0.1909355,0.16846782,836189fffffffff,"POLYGON ((77.64124970450999 13.008750148970002, 77.64124970450999 13.009583482300002, 77.64041637118 13.009583482300002, 77.64041637118 13.008750148970002, 77.64124970450999 13.008750148970002))"
11312,26980,467.6499,8b61892eb6acfff,3.3290534,12.733621,13.72706,16.35728,23.53094,27.175716,22.346926,19.075792,14.322516,13.230527,13.54102,11.383272,9.567284,7.165936,5.276657,3.1539202,2.3172116,,3.6576638,14.014846,15.107923,17.421091,26.641384,30.626022,28.040264,22.945211,16.938978,14.518775,14.885419,11.548053,10.28771,7.576485,5.460802,3.0748746,2.18382,1.9268464,836189fffffffff,"POLYGON ((77.61291637128998 13.01708348227, 77.61291637128998 13.0179168156, 77.61208303795999 13.0179168156, 77.61208303795999 13.01708348227, 77.61291637128998 13.01708348227))"
11294,26997,413.32016,8b60145b619afff,2.942297,11.254278,12.132304,14.456955,20.797207,24.018549,19.750746,16.859642,12.658583,11.693457,11.967877,10.060808,8.455793,6.3334255,4.6636357,2.7875102,2.048007,,3.2327306,12.386656,13.352743,15.397177,23.546291,27.06801,24.782656,20.279526,14.971073,12.832041,13.156089,10.206445,9.092524,6.6962786,4.8263874,2.7176476,1.9301122,1.7029929,836014fffffffff,"POLYGON ((77.59791637135 13.00291681566, 77.59791637135 13.003750148990001, 77.59708303802 13.003750148990001, 77.59708303802 13.00291681566, 77.59791637135 13.00291681566))"
11331,27026,37.42983,8b61892ed7b5fff,0.26645124,1.0191753,1.0986884,1.3092062,1.8833727,2.175094,1.7886064,1.526791,1.1463475,1.0589468,1.083798,0.9110959,0.7657476,0.5735482,0.42233384,0.25243393,0.18546532,,0.2927526,1.1217222,1.20921,1.3943518,2.1323268,2.4512498,2.2442906,1.8364921,1.3557643,1.1620557,1.1914012,0.92428464,0.82340914,0.60640776,0.43707246,0.24610724,0.17478889,0.1542212,836189fffffffff,"POLYGON ((77.62874970456 12.97875014909, 77.62874970456 12.97958348242, 77.62791637123 12.97958348242, 77.62791637123 12.97875014909, 77.62874970456 12.97875014909))"
11329,27008,446.94492,8b61892e838cfff,3.181661,12.169846,13.119301,15.633069,22.489117,25.972525,21.357525,18.23122,13.688394,12.644752,12.941498,10.879283,9.143697,6.8486676,5.0430355,3.014282,2.2146182,,3.4957223,13.394345,14.439026,16.64978,25.46185,29.27007,26.798794,21.929323,16.189013,13.875963,14.226374,11.036768,9.832226,7.2410398,5.2190275,2.938736,2.0871322,1.8415362,836189fffffffff,"POLYGON ((77.6270830379 12.99375014903, 77.6270830379 12.99458348236, 77.62624970457 12.99458348236, 77.62624970457 12.99375014903, 77.6270830379 12.99375014903))"
