id,name,desc,num_units,default_units,lat,lng,url,source,final_num_units
tl9p3e,Umiya Laburnum Apartments,,30.0,30.0,12.999863,77.629099,https://www.commonfloor.com/umiya-laburnum-apartments-bangalore/povp-tl9p3e,commonfloor,30.0
52ypvw,Tuscan Infinite,,8.0,8.0,13.022777944095482,77.63179795614153,https://www.commonfloor.com/tuscan-infinite-bangalore/povp-52ypvw,commonfloor,8.0
iwe5ss,Olive Grove,,9.0,9.0,13.000050134922148,77.61799036000572,https://www.commonfloor.com/olive-grove-bangalore/povp-iwe5ss,commonfloor,9.0
2zw5ji,Suba Paradise,,12.0,12.0,13.020666666666667,77.65573833333333,https://www.commonfloor.com/suba-paradise-bangalore/povp-2zw5ji,commonfloor,12.0
fuk8st,SD Aban Lehar,,10.0,10.0,13.0159044,77.6378619,https://www.commonfloor.com/sd-aban-lehar-bangalore/povp-fuk8st,commonfloor,10.0
9go7bx,Regency Taj,,6.0,6.0,12.9995661979171,77.62198330838164,https://www.commonfloor.com/regency-taj-bangalore/povp-9go7bx,commonfloor,6.0
n4cl9x,Sree Gokulam,,0.0,40.0,13.018626,77.631351,https://www.commonfloor.com/sree-gokulam-bangalore/povp-n4cl9x,commonfloor,0.0
b2cr9y,Sambhav Apartments,,9.0,9.0,12.994284590492125,77.62484265260696,https://www.commonfloor.com/sambhav-apartments-bangalore/povp-b2cr9y,commonfloor,9.0
9lotus,RK Residency,,0.0,40.0,13.006536,77.615109,https://www.commonfloor.com/rk-residency-bangalore/povp-9lotus,commonfloor,0.0
p8o23k,Gurudeo Enclave,,0.0,40.0,13.016734,77.638106,https://www.commonfloor.com/gurudeo-enclave-bangalore/povp-p8o23k,commonfloor,0.0
wq9c0y,Genesis Apartment,,0.0,40.0,12.995622,77.622434,https://www.commonfloor.com/genesis-apartment-bangalore/povp-wq9c0y,commonfloor,0.0
t9wg1g,Jonne The House Apartment,,0.0,40.0,12.981476,77.628021,https://www.commonfloor.com/jonne-the-house-apartment-bangalore/povp-t9wg1g,commonfloor,0.0
afra1z,Favorite Charlotte,,0.0,40.0,12.994481,77.622089,https://www.commonfloor.com/favorite-charlotte-bangalore/povp-afra1z,commonfloor,0.0
5tuu9w,C K Gardens,,0.0,40.0,13.006157,77.626487,https://www.commonfloor.com/c-k-gardens-bangalore/povp-5tuu9w,commonfloor,0.0
qjci80,Golden Castle,,0.0,40.0,13.024516,77.6366,https://www.commonfloor.com/golden-castle-bangalore/povp-qjci80,commonfloor,0.0
jsmckr,Shanthi Apartment,,0.0,40.0,12.975933,77.619798,https://www.commonfloor.com/shanthi-apartment-bangalore/povp-jsmckr,commonfloor,0.0
