id,bathrooms,bedrooms,price,name,lat,lng,type,desc,covered_area,carpet_area,trans_type,source
10587137,2.0,2.0,6200000.0,2 BHK Property for Sale in Basaveswarnagar Bangalore,12.98817825,77.53768921,Apartment,"Well designed 2 bhk multistorey apartment is available at a prime location in Basaveswarnagar. It has a salable area of 1150 sqft and is available at a price of Rs. 5,391 per sqft. It is an unfurnishe...",1150.0,,Buy,Makaan
14899253,3.0,3.0,12500000.0,3 BHK Property for Sale in Mathikere Bangalore,13.0307827,77.5605011,Independent Floor,"A 3 BHK Independent Floor for sale in Mathikere, Bengaluru. This beautifully designed 3 BHK unit with all the modern-day comforts is one of Mathikere's most desired properties. Contact now for more in...",1600.0,,Buy,Makaan
15499826,3.0,3.0,20000000.0,3 BHK Property for Sale in Malleswaram Bangalore,13.00730991,77.56815338,Apartment,"It’s a 3 bhk multistorey apartment situated in Malleswaram, Bangalore. It has a salable area of 1600 sqft and is available at a price of Rs. 12,500 per sqft. It is an unfurnished property. This reside...",1600.0,,Buy,Makaan
15603413,3.0,4.0,41400000.0,4 BHK Property for Sale in Dasarahalli on Tumkur Road Bangalore,13.02738571,77.54189301,Apartment,"This spacious 4 bhk multistorey apartment is available for sale and is located in Cardinal Energy And Infrastructure Cardinal One, one of the most prestigious projects of Dasarahalli on Tumkur Road. I...",3300.0,,Buy,Makaan
15603418,3.0,3.0,32500000.0,3 BHK Property for Sale in Dasarahalli on Tumkur Road Bangalore,13.02738571,77.54189301,Apartment,"It has a salable area of 2400 sqft and is available at a price of Rs. 13,541 per sqft. It is an unfurnished property. It has swimming pool as well as gymnasium. The project also has children's play ar...",2400.0,,Buy,Makaan
15603409,3.0,3.0,18000000.0,3 BHK Property for Sale in Yeshwantpur Bangalore,13.01576328,77.54993439,Apartment,"It has a built-up area of 1876 sqft and is priced at Rs. 1.80 cr . The house is semi-furnished. It has club house as well as intercom. The project also has power backup, lift available, gymnasium, chi...",1876.0,,Buy,Makaan
15603405,3.0,4.0,28700000.0,4 BHK Property for Sale in Yeshwantpur Bangalore,13.02094936,77.55200958,Apartment,"This spacious 4 bhk multistorey apartment is available for sale and is located in Aparna Constructions Elina, one of the most prestigious projects of Yeshwantpur. It is a semi-furnished property. It h...",2610.0,,Buy,Makaan
14642611,2.0,2.0,11900000.0,2 BHK Property for Sale in Rajajinagar Bangalore,12.98058128,77.53860474,Apartment,"It’s a 2 bhk multistorey apartment situated in Birla Estate Tisya, Rajajinagar. It has a salable area of 860 sqft and is available at a price of Rs. 13,837 per sqft. The house is unfurnished. It has g...",860.0,,Buy,Makaan
15230450,3.0,4.0,26400000.0,4 BHK Property for Sale in Rajajinagar Bangalore,12.98058128,77.53860474,Apartment,"It has a built-up area of 1753 sqft and is priced at Rs. 2.64 cr . It is an unfurnished property. It has community_hall as well as cctv. The project also has lift(s), full_power_backup, children's pla...",1753.0,,Buy,Makaan
15603402,2.0,3.0,18100000.0,3 BHK Property for Sale in Rajajinagar Bangalore,12.98058128,77.53860474,Apartment,"This spacious 3 bhk multistorey apartment is available for sale and is located in Birla Estate Tisya, one of the most prestigious projects of Rajajinagar. It has a salable area of 1369 sqft and is ava...",1369.0,,Buy,Makaan
15603401,2.0,3.0,18000000.0,3 BHK Property for Sale in Rajajinagar Bangalore,12.98058128,77.53860474,Apartment,"It’s a 3 bhk multistorey apartment situated in Birla Estate Tisya, Rajajinagar, Bangalore. It has a salable area of 1369 sqft and is available at a price of Rs. 13,148 per sqft. It is an unfurnished p...",1369.0,,Buy,Makaan
