"id","name","lat","lng","top_category","sub_categories","type","brand_name","brand_id","address","pincode","town_name","source","number_of_votes","rating","created_at","verified","last_verification_date","active","additional_data","geo_filter_1","geo_filter_2","service_options","oldest_review_timestamp","top_reviews","top_review_keywords","price_level","category"
"ChIJnSXxbGwNrjsRdfZ81fLTtVM","Dress Circle Shopping Mall- Whitefield","12.969653129577637","77.74978637695312","retail","[Shopping mall, Clothing store, Outlet mall]","N_A","N_A","N_A","Dress Circle Shopping Mall- Whitefield, 57/1, Whitefield Rd, Whitefield, Dodsworth Layout, Bengaluru, Karnataka 560066","560066","bangalore","gmaps_v2","6301","4.800000190734863","1706767070","1","1706770386","1","{country=IN, city=Bengaluru, hexadecimal_cid=0x3bae0d6c6cf1259d:0x53b5d3f2d57cf675, timezone=Asia/Calcutta, description=nan, poi_locality=Whitefield, Dodsworth Layout, language=English, review_link=https://search.google.com/local/reviews?placeid=ChIJnSXxbGwNrjsRdfZ81fLTtVM&q=shopping+mall&authuser=0&hl=en&gl=IN, image_source=photos:gmm_android_review_post, domain_name=dresscirclemalls, gmaps_category=shopping_center, logo=https://lh6.googleusercontent.com/-Gx0KSy3dIaw/AAAAAAAAAAI/AAAAAAAAAAA/nriUWOo9Hp4/s44-p-k-no-ns-nd/photo.jpg, state=Karnataka, place_url=https://www.google.com/maps/place/?q=place_id:ChIJnSXxbGwNrjsRdfZ81fLTtVM, owner={""owner_name"": ""Dress Circle Shopping Mall- Whitefield (Owner)"", ""owner_id"": ""115068546732725130471"", ""owner_link"": ""https://www.google.com/maps/contrib/115068546732725130471""}, query_keyword=shopping mall, pincode=560066.0, website=https://dresscirclemalls.com/, number_of_photos=353, display_image_url=https://lh5.googleusercontent.com/p/AF1QipMyLXRYFynshliaNcBtbO9QVqLZ1wKPpwXtDvI9=w138-h92-k-no, contact_number=tel:+919154984650, reviews_per_score={""1"": 32, ""2"": 15, ""3"": 49, ""4"": 256, ""5"": 2202}, query_city=bangalore, reviews_id=6.031960315849931e+18, working_hours={""Wednesday"": ""10\u202fam\u201310\u202fpm"", ""Thursday"": ""10\u202fam\u201310\u202fpm"", ""Friday"": ""10\u202fam\u201310\u202fpm"", ""Saturday"": ""10\u202fam\u201310\u202fpm"", ""Sunday"": ""10\u202fam\u201310\u202fpm"", ""Monday"": ""10\u202fam\u201310\u202fpm"", ""Tuesday"": ""10\u202fam\u201310\u202fpm""}, source_image_year=2022.0, facilities=nan}","123303312122","12330331212210","[]",,"[]","[]",,"shopping_mall"
"ChIJL8E77SUZrjsRi18NhbIac3s","Phoenix Mall Of Asia","13.070825576782227","77.59249114990234","retail","[Shopping mall]","N_A","N_A","N_A","Phoenix Mall Of Asia, 239/240, Byatarayanapura, Yelahanka, Hobli Yelahanka Taluk, Bellary Rd, Bengaluru, Karnataka 560092","560092","bangalore","gmaps_v2","4821","4.199999809265137","1706767070","1","1706769758","1","{country=IN, city=Bengaluru, hexadecimal_cid=0x3bae1925ed3bc12f:0x7b731ab2850d5f8b, timezone=Asia/Calcutta, description=nan, poi_locality=Park View Layout, language=English, review_link=https://search.google.com/local/reviews?placeid=ChIJL8E77SUZrjsRi18NhbIac3s&q=shopping+mall&authuser=0&hl=en&gl=IN, image_source=photos:gmm_android, domain_name=nan, gmaps_category=shopping_center, logo=https://lh6.googleusercontent.com/-N-qbnRLu9Ew/AAAAAAAAAAI/AAAAAAAAAAA/annL7BEWGNo/s44-p-k-no-ns-nd/photo.jpg, state=Karnataka, place_url=https://www.google.com/maps/place/?q=place_id:ChIJL8E77SUZrjsRi18NhbIac3s, owner={""owner_name"": ""Phoenix Mall Of Asia (Owner)"", ""owner_id"": ""105889853551217524623"", ""owner_link"": ""https://www.google.com/maps/contrib/105889853551217524623""}, query_keyword=shopping mall, pincode=560092, website=nan, number_of_photos=79, display_image_url=https://lh5.googleusercontent.com/p/AF1QipMOm8iw0m3csvsenUUtti9D5YMGzeG49hG614r1=w360-h480-k-no, contact_number=nan, reviews_per_score={""1"": 1, ""2"": 3, ""3"": 5, ""4"": 9, ""5"": 51}, query_city=bangalore, reviews_id=8.895483043025609e+18, working_hours={""Wednesday"": ""10\u202fam\u201310\u202fpm"", ""Thursday"": ""10\u202fam\u201310\u202fpm"", ""Friday"": ""10\u202fam\u201312\u202fpm"", ""Saturday"": ""10\u202fam\u201310\u202fpm"", ""Sunday"": ""10\u202fam\u201310\u202fpm"", ""Monday"": ""10\u202fam\u201310\u202fpm"", ""Tuesday"": ""10\u202fam\u201310\u202fpm""}, source_image_year=2023.0, facilities={""Accessibility"": {""Wheelchair-accessible car park"": true, ""Wheelchair-accessible entrance"": true}}}","123303312012","12330331201233","[]",,"[]","[]",,"shopping_mall"
"ChIJq6pq6_cUrjsR6oXj0Mav7Bw","Total Mall","12.921908378601074","77.62040710449219","retail","[Shopping mall]","N_A","N_A","N_A","WJCC+Q57 Total Mall, Madiwala Rd, Sidharata Colony, Madiwala, Koramangala 2nd Block, Koramangala, Bengaluru, Karnataka 560034","560034","bangalore","gmaps_v2","6186","3.9000000953674316","1687847039","1","1706773051","1","{country=IN, city=Bengaluru, hexadecimal_cid=0x3bae14f7eb6aaaab:0x1cecafc6d0e385ea, timezone=Asia/Calcutta, description=nan, poi_locality=Sidharata Colony, Madiwala, Koramangala 2nd Block, Koramangala, language=English, review_link=https://search.google.com/local/reviews?placeid=ChIJq6pq6_cUrjsR6oXj0Mav7Bw&q=shopping+mall&authuser=0&hl=en&gl=IN, image_source=photos:gmm_android, domain_name=nan, gmaps_category=shopping_center, logo=nan, state=Karnataka, place_url=https://www.google.com/maps/place/?q=place_id:ChIJq6pq6_cUrjsR6oXj0Mav7Bw, owner={""owner_name"": ""Total Mall (Owner)"", ""owner_id"": null, ""owner_link"": null}, query_keyword=shopping mall, pincode=560034.0, website=nan, number_of_photos=954, display_image_url=https://lh5.googleusercontent.com/p/AF1QipNNvp5d-6kH9SN6djTxlaC0ANgUS_r-69YHBuxe=w122-h92-k-no, contact_number=nan, reviews_per_score={""1"": 269, ""2"": 313, ""3"": 1293, ""4"": 2086, ""5"": 2225}, query_city=bangalore, reviews_id=2.0842339960086543e+18, working_hours={""Wednesday"": ""10\u202fam\u201310\u202fpm"", ""Thursday"": ""10\u202fam\u201310\u202fpm"", ""Friday"": ""10\u202fam\u201310\u202fpm"", ""Saturday"": ""10\u202fam\u201310\u202fpm"", ""Sunday"": ""10\u202fam\u201310\u202fpm"", ""Monday"": ""10\u202fam\u201310\u202fpm"", ""Tuesday"": ""10\u202fam\u201310\u202fpm""}, source_image_year=2020.0, facilities={""Service options"": {""In-store shopping"": true}, ""Accessibility"": {""Wheelchair-accessible car park"": true, ""Wheelchair-accessible entrance"": true}}}","123303312033","12330331203320","[]",,"[]","[]",,"shopping_mall"
"ChIJ578aQJw_rjsRQzEamg0Jeic","Global Mall","12.94035816192627","77.52481079101562","retail","[Shopping mall, Movie theater]","N_A","N_A","N_A","Global Mall, Shopping mall, SALARPURIA SATTVA DIVINITY, Pantarapalya, Nayanda Halli, Bengaluru, Karnataka 560039","560039","bangalore","gmaps_v2","1301","4.099999904632568","1706767070","1","1706769758","1","{country=IN, city=Bengaluru, hexadecimal_cid=0x3bae3f9c401abfe7:0x277a090d9a1a3143, timezone=Asia/Calcutta, description=nan, poi_locality=Pantarapalya, Nayanda Halli, language=English, review_link=https://search.google.com/local/reviews?placeid=ChIJ578aQJw_rjsRQzEamg0Jeic&q=shopping+mall&authuser=0&hl=en&gl=IN, image_source=launch, domain_name=nan, gmaps_category=shopping_center, logo=nan, state=Karnataka, place_url=https://www.google.com/maps/place/?q=place_id:ChIJ578aQJw_rjsRQzEamg0Jeic, owner={""owner_name"": ""Global Mall (Owner)"", ""owner_id"": null, ""owner_link"": null}, query_keyword=shopping mall, pincode=560039.0, website=nan, number_of_photos=0, display_image_url=https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=TAnZ0Eqma3YXYKVNkpVBaA&cb_client=search.gws-prod.gps&w=80&h=92&yaw=150.47995&pitch=0&thumbfov=100, contact_number=nan, reviews_per_score={""1"": 1, ""2"": 0, ""3"": 3, ""4"": 3, ""5"": 11}, query_city=bangalore, reviews_id=2.8445960686625224e+18, working_hours=nan, source_image_year=2023.0, facilities=nan}","123303312032","12330331203202","[]",,"[]","[]",,"shopping_mall"
"ChIJ39UQV4EXrjsR3Uiu19ytp-8","CONNECT DIGITAL & ELECTRONICS MEGASTORE","12.98116397857666","77.56353759765625","retail","[Electronics store, Electronics Company, Electronics wholesaler]","N_A","lulumall","lulumall","No 19, CONNECT DIGITAL & ELECTRONICS MEGASTORE, Connect 1st Floor, 2, near Sujatha Theatre, Gopalpura, Okalipuram, Rajajinagar, Bengaluru, Karnataka 560023","560023","bangalore","gmaps_v2","0","0.0","1695212099","0",,"1","{country=IN, city=Bengaluru, hexadecimal_cid=0x3bae17815710d5df:0xefa7addcd7ae48dd, timezone=Asia/Calcutta, description=null, poi_locality=Gopalpura, Okalipuram, Rajajinagar, language=English, review_link=null, image_source=bizbuilder:gmb_android, domain_name=lulumall, gmaps_category=electronics_store, logo=https://lh5.googleusercontent.com/-kFTRuO6N8qs/AAAAAAAAAAI/AAAAAAAAAAA/gVuM6Ugc85w/s44-p-k-no-ns-nd/photo.jpg, state=Karnataka, place_url=https://www.google.com/maps/place/?q=place_id:ChIJ39UQV4EXrjsR3Uiu19ytp-8, owner={""owner_name"": ""CONNECT DIGITAL & ELECTRONICS MEGASTORE (Owner)"", ""owner_id"": ""110162805571974077011"", ""owner_link"": ""https://www.google.com/maps/contrib/110162805571974077011""}, query_keyword=electronic store, pincode=560023, website=http://lulumall.in/, number_of_photos=39, display_image_url=https://lh5.googleusercontent.com/p/AF1QipONJu3tQv0ssCNV1S-ggCTvrSMPIdOqbdRJ8JWc=w122-h92-k-no, contact_number=null, reviews_per_score=null, query_city=bangalore, reviews_id=-1.1777816135111616e+18, working_hours={""Tuesday"": ""10\u202fam\u201310\u202fpm"", ""Wednesday"": ""10\u202fam\u201310\u202fpm"", ""Thursday"": ""10\u202fam\u201310\u202fpm"", ""Friday"": ""10\u202fam\u201310\u202fpm"", ""Saturday"": ""10\u202fam\u201310\u202fpm"", ""Sunday"": ""10\u202fam\u201310\u202fpm"", ""Monday"": ""10\u202fam\u201310\u202fpm""}, source_image_year=2022.0, facilities=null}","123303312032","12330331203210","[]",,"[]","[]",,"shopping_mall"
"ChIJxTyv4WgXrjsRiqVsTY7LFBk","Elements Mall","13.045095443725586","77.62689971923828","retail","[Shopping mall]","N_A","N_A","N_A","Elements Mall, Survey No. 132(P), 133(P), & 134(P), of Nagavara Village 100’ wide, Thanisandra Main Rd, Kasaba Hobli, Bengaluru, Karnataka 560077","560045","bangalore","gmaps_v2","59302","4.099999904632568","1706767070","1","1706773051","1","{country=IN, city=Bengaluru, hexadecimal_cid=0x3bae1768e1af3cc5:0x1914cb8e4d6ca58a, timezone=Asia/Calcutta, description=Bustling indoor shopping center with a food court, hypermarket, movie theater & amusement center., poi_locality=5th Block, MS Ramaiah North City, Manayata Tech Park, Kasaba Hobli, language=English, review_link=https://search.google.com/local/reviews?placeid=ChIJxTyv4WgXrjsRiqVsTY7LFBk&q=shopping+mall&authuser=0&hl=en&gl=IN, image_source=photos:gmm_android, domain_name=elementsmall, gmaps_category=shopping_center, logo=https://lh6.googleusercontent.com/-dFYM6xFWdtM/AAAAAAAAAAI/AAAAAAAAAAA/C9czOVuGauc/s44-p-k-no-ns-nd/photo.jpg, state=Karnataka, place_url=https://www.google.com/maps/place/?q=place_id:ChIJxTyv4WgXrjsRiqVsTY7LFBk, owner={""owner_name"": ""Elements Mall (Owner)"", ""owner_id"": ""102665083472380613763"", ""owner_link"": ""https://www.google.com/maps/contrib/102665083472380613763""}, query_keyword=shopping mall, pincode=560077.0, website=http://elementsmall.com/, number_of_photos=35847, display_image_url=https://lh5.googleusercontent.com/p/AF1QipNxBKV50G-7ubyx0tn6MfwVTVwB4_0ag08xB5Y4=w122-h92-k-no, contact_number=tel:+918046514444, reviews_per_score={""1"": 1847, ""2"": 2002, ""3"": 9985, ""4"": 20995, ""5"": 23018}, query_city=bangalore, reviews_id=1.807293162527172e+18, working_hours={""Wednesday"": ""10\u202fam\u201310\u202fpm"", ""Thursday"": ""10\u202fam\u201310\u202fpm"", ""Friday"": ""10\u202fam\u201310\u202fpm"", ""Saturday"": ""10\u202fam\u201310\u202fpm"", ""Sunday"": ""10\u202fam\u201310\u202fpm"", ""Monday"": ""10\u202fam\u201310\u202fpm"", ""Tuesday"": ""10\u202fam\u201310\u202fpm""}, source_image_year=2021.0, facilities=nan}","123303312031","12330331203102","[]",,"[]","[]",,"shopping_mall"
"ChIJVTdRLnITrjsRzNqE1cHzA4Y","Market Square Mall Sarjapur Road","12.916659355163574","77.67132568359375","retail","[Shopping mall]","N_A","N_A","N_A","Market Square Mall Sarjapur Road, Sarjapur - Marathahalli Rd, Ambalipura, Haralur, Bengaluru, Karnataka 560103","560103","bangalore","gmaps_v2","12338","4.0","1706767070","1","1706773051","1","{country=IN, city=Haralur, Bengaluru, hexadecimal_cid=0x3bae13722e513755:0x8603f3c1d584dacc, timezone=Asia/Calcutta, description=Unpretentious enclosed shopping mall with diverse stores & ample on-site parking., poi_locality=Ambalipura, language=English, review_link=https://search.google.com/local/reviews?placeid=ChIJVTdRLnITrjsRzNqE1cHzA4Y&q=electronic+store&authuser=0&hl=en&gl=IN, image_source=photos:gmm_android, domain_name=null, gmaps_category=shopping_center, logo=https://lh5.googleusercontent.com/-scGdMRZBT_4/AAAAAAAAAAI/AAAAAAAAAAA/2zUSyL4LCUk/s44-p-k-no-ns-nd/photo.jpg, state=Karnataka, place_url=https://www.google.com/maps/place/?q=place_id:ChIJVTdRLnITrjsRzNqE1cHzA4Y, owner={""owner_name"": ""Market Square Mall Sarjapur Road (Owner)"", ""owner_id"": ""116661970027780597278"", ""owner_link"": ""https://www.google.com/maps/contrib/116661970027780597278""}, query_keyword=electronic store, pincode=560103, website=null, number_of_photos=5217, display_image_url=https://lh5.googleusercontent.com/p/AF1QipP3wE9JPE-Us2-cAMEohsvxjuUAB4JSe2buHU1t=w122-h92-k-no, contact_number=null, reviews_per_score={""1"": 270, ""2"": 395, ""3"": 2531, ""4"": 4924, ""5"": 4137}, query_city=bangalore, reviews_id=-8.789914033860584e+18, working_hours={""Tuesday"": ""10\u202fam\u201310:30\u202fpm"", ""Wednesday"": ""10\u202fam\u201310:30\u202fpm"", ""Thursday"": ""10\u202fam\u201310:30\u202fpm"", ""Friday"": ""10\u202fam\u201310:30\u202fpm"", ""Saturday"": ""10\u202fam\u201310:30\u202fpm"", ""Sunday"": ""10\u202fam\u201310:30\u202fpm"", ""Monday"": ""10\u202fam\u201310:30\u202fpm""}, source_image_year=2018.0, facilities={""Service options"": {""In-store shopping"": true}, ""Accessibility"": {""Wheelchair-accessible car park"": true, ""Wheelchair-accessible entrance"": true, ""Wheelchair-accessible lift"": true}, ""Amenities"": {""Toilets"": true}}}","123303312033","12330331203332","[]",,"[]","[]",,"shopping_mall"
"ChIJCwQ1WPYNrjsR79v0Hb12g1U","Nexus Whitefield","12.959627151489258","77.7479476928711","retail","[Shopping mall]","N_A","Nexusmalls","nexusmalls","Nexus Whitefield (The Forum Neighbourhood Mall), No.62, Whitefield Rd, Whitefield, Prestige Ozone, Bengaluru, Karnataka 560066","560066","bangalore","gmaps_v2","38212","4.199999809265137","1706767070","1","1706773051","1","{country=IN, city=Bengaluru, hexadecimal_cid=0x3bae0df65835040b:0x558376bd1df4dbef, timezone=Asia/Calcutta, description=Airy, multi-level retail center with international brands & a food court, plus festivals & shows., poi_locality=Whitefield, Prestige Ozone, language=English, review_link=https://search.google.com/local/reviews?placeid=ChIJCwQ1WPYNrjsR79v0Hb12g1U&q=shopping+mall&authuser=0&hl=en&gl=IN, image_source=photos:gmm_android, domain_name=nexusmalls, gmaps_category=shopping_center, logo=https://lh4.googleusercontent.com/-H3hGTMufaCk/AAAAAAAAAAI/AAAAAAAAAAA/-PTX0dK1yo0/s44-p-k-no-ns-nd/photo.jpg, state=Karnataka, place_url=https://www.google.com/maps/place/?q=place_id:ChIJCwQ1WPYNrjsR79v0Hb12g1U, owner={""owner_name"": ""Nexus Whitefield (The Forum Neighbourhood Mall) (Owner)"", ""owner_id"": ""102620965175527354445"", ""owner_link"": ""https://www.google.com/maps/contrib/102620965175527354445""}, query_keyword=shopping mall, pincode=560066.0, website=https://www.nexusmalls.com/nexus-shantiniketan, number_of_photos=33536, display_image_url=https://lh5.googleusercontent.com/p/AF1QipMUGZ5_eLG1w8MB7psGt3r93ZpEIoANxzaPVA1D=w163-h92-k-no, contact_number=nan, reviews_per_score={""1"": 506, ""2"": 675, ""3"": 5103, ""4"": 14647, ""5"": 15892}, query_city=bangalore, reviews_id=6.161899269796453e+18, working_hours={""Wednesday"": ""10\u202fam\u201310\u202fpm"", ""Thursday"": ""10\u202fam\u201310\u202fpm"", ""Friday"": ""10\u202fam\u201310\u202fpm"", ""Saturday"": ""10\u202fam\u201310\u202fpm"", ""Sunday"": ""10\u202fam\u201310\u202fpm"", ""Monday"": ""10\u202fam\u201310\u202fpm"", ""Tuesday"": ""10\u202fam\u201310\u202fpm""}, source_image_year=2023.0, facilities={""Service options"": {""In-store shopping"": true}, ""Accessibility"": {""Wheelchair-accessible car park"": true, ""Wheelchair-accessible entrance"": true}}}","123303312122","12330331212212","[]",,"[]","[]",,"shopping_mall"
"ChIJCYgAwiwVrjsRWk69HWg1HG8","Royal Meenakshi Mall","12.875699996948242","77.59576416015625","retail","[Shopping mall]","N_A","N_A","N_A","Royal Meenakshi Mall, Bannerghatta Main Rd, Hulimavu, Bengaluru, Karnataka 560076","560076","bangalore","gmaps_v2","72310","4.300000190734863","1706767070","1","1706773051","1","{country=IN, city=Bengaluru, hexadecimal_cid=0x3bae152cc2008809:0x6f1c35681dbd4e5a, timezone=Asia/Calcutta, description=Upmarket retail complex featuring popular chain stores, a food court & a 7-screen movie theater., poi_locality=Hulimavu, language=English, review_link=https://search.google.com/local/reviews?placeid=ChIJCYgAwiwVrjsRWk69HWg1HG8&q=shopping+mall&authuser=0&hl=en&gl=IN, image_source=photos:dragonfly_tactile, domain_name=royalmeenakshimall, gmaps_category=shopping_center, logo=https://lh5.googleusercontent.com/-KcLgmK136BU/AAAAAAAAAAI/AAAAAAAAAAA/zyA-03fMRDU/s44-p-k-no-ns-nd/photo.jpg, state=Karnataka, place_url=https://www.google.com/maps/place/?q=place_id:ChIJCYgAwiwVrjsRWk69HWg1HG8, owner={""owner_name"": ""Royal Meenakshi Mall (Owner)"", ""owner_id"": ""102738330845530245609"", ""owner_link"": ""https://www.google.com/maps/contrib/102738330845530245609""}, query_keyword=shopping mall, pincode=560076, website=http://www.royalmeenakshimall.com/, number_of_photos=43207, display_image_url=https://lh5.googleusercontent.com/p/AF1QipP4Ql7A9-UooaDAlqip668fLqwJACL7stOeXYNm=w122-h92-k-no, contact_number=nan, reviews_per_score={""1"": 1368, ""2"": 1142, ""3"": 7286, ""4"": 25575, ""5"": 33680}, query_city=bangalore, reviews_id=8.006332958849716e+18, working_hours={""Wednesday"": ""9:30\u202fam\u201310\u202fpm"", ""Thursday"": ""9:30\u202fam\u201310\u202fpm"", ""Friday"": ""9:30\u202fam\u201310\u202fpm"", ""Saturday"": ""9:30\u202fam\u201310\u202fpm"", ""Sunday"": ""9:30\u202fam\u201310\u202fpm"", ""Monday"": ""9:30\u202fam\u201310\u202fpm"", ""Tuesday"": ""9:30\u202fam\u201310\u202fpm""}, source_image_year=2018.0, facilities=nan}","123303312210","12330331221013","[]",,"[]","[]",,"shopping_mall"
"ChIJO7zyW_gZrjsRJLZ_yGyKev8","Decathlon Hennur Road","13.065901756286621","77.65235900878906","retail","[Sporting goods store, Basketball court, Bicycle Shop, Clothing store, Fitness equipment wholesaler, Gym, Skateboard shop, Soccer store, Sports complex, Sportswear store]","N_A","Decathlon","decathlon","Decathlon Hennur Road, Survey No 12/2, Hennur Main Road Near Salarpuria Satva Gold Summit, Kothanur, Bengaluru, Karnataka 560077","560077","bangalore","gmaps_v2","15889","4.400000095367432","1706767070","2","1701099617","1","{country=IN, city=Bengaluru, hexadecimal_cid=0x3bae19f85bf2bc3b:0xff7a8a6cc87fb624, timezone=Asia/Calcutta, description=null, poi_locality=Kuvempu Layout, Kothanur, language=English, review_link=https://search.google.com/local/reviews?placeid=ChIJO7zyW_gZrjsRJLZ_yGyKev8&q=night+club&authuser=0&hl=en&gl=IN, image_source=photos:local_universal_mobile_review_post, domain_name=decathlon, gmaps_category=sporting_goods_store, logo=https://lh6.googleusercontent.com/-CinbdP6Zlck/AAAAAAAAAAI/AAAAAAAAAAA/-U9J3slCU-4/s44-p-k-no-ns-nd/photo.jpg, state=Karnataka, place_url=https://www.google.com/maps/place/?q=place_id:ChIJO7zyW_gZrjsRJLZ_yGyKev8, owner={""owner_name"": ""Decathlon Hennur Road (Owner)"", ""owner_id"": ""112317547372715186195"", ""owner_link"": ""https://www.google.com/maps/contrib/112317547372715186195""}, query_keyword=night club, pincode=560077.0, website=https://www.decathlon.in/, number_of_photos=5570, display_image_url=https://lh5.googleusercontent.com/p/AF1QipOnJwPIPst6v7t-aRwWR3cJEkH_iAxxes7BQWZx=w129-h92-k-no, contact_number=tel:+919538837702, reviews_per_score={""1"": 345, ""2"": 254, ""3"": 1153, ""4"": 5069, ""5"": 8969}, query_city=nashik, reviews_id=-3.756544705431395e+16, working_hours={""Friday"": ""9\u202fam\u201310\u202fpm"", ""Saturday"": ""9\u202fam\u201310\u202fpm"", ""Sunday"": ""9\u202fam\u201310\u202fpm"", ""Monday"": ""9\u202fam\u201310\u202fpm"", ""Tuesday"": ""9\u202fam\u201310\u202fpm"", ""Wednesday"": ""9\u202fam\u201310\u202fpm"", ""Thursday"": ""9\u202fam\u201310\u202fpm""}, source_image_year=2021.0, facilities=null}","123303312031","12330331203110","[]",,"[]","[]",,"clothing_store"
