"id_1","id_2","cid_1","cid_2","source_1","source_2","name_1","number_of_votes_1","created_at_1","name_2","number_of_votes_2","created_at_2","service_options_1","service_options_2","brand_id_1","brand_id_2"
"ChIJR5XRNnc9rjsROCln6pfY2ww","19573302","0x3bae3d7736d19547:0xcdbd897ea672938","19573302","gmaps_v2","zomato","Hello GOWDA BIRIYANI KABAB ADDA","1","1687847039","H Gowda Biryani Kabab Adda","43","1688639100","[]","[delivery]","nan","N_A"
"ChIJq96HAxUXrjsRTEP8a6kyxeo","19269962","0x3bae17150387deab:0xeac532a96bfc434c","19269962","gmaps_v2","zomato","Plan B","2154","1699615207","Plan B","1264","1688639100","[]","[dining, delivery]",,"zomato_plan_b"
"ChIJnThGvO4XrjsREMVeMmh_GAA","18872888","0x3bae17eebc46389d:0x187f68325ec510","18872888","gmaps_v2","zomato","Chef Kitchen","47","1699615207","Chef Kitchen","1842","1688639100","[]","[dining, delivery]",,"N_A"
"ChIJrTLShas9rjsRyvhmFLp2JY0","20024640","0x3bae3dab85d232ad:0x8d2576ba1466f8ca","20024640","gmaps_v2","zomato","TOLL PARADISE","16","1687847039","Toll Paradise","42","1688639100","[]","[dining, delivery]","nan","N_A"
"ChIJcyMT4X49rjsRnKUPyPqI12k","18742896","0x3bae3d7ee1132373:0x69d788fac80fa59c","18742896","gmaps_v2","zomato","1992 Chats Space","154","1699615207","1992 Chats - Space","650","1688639100","[]","[dining, delivery]",,"N_A"
"ChIJrbeWFr49rjsRgrYVepIjUN4","51305","0x3bae3dbe1696b7ad:0xde5023927a15b682","51305","gmaps_v2","zomato","Kentaky Fast Food","463","1699615207","Kentaky Fast Food","373","1688639100","[]","[dining, delivery]",,"N_A"
"ChIJAbD-pT09rjsR_XnP7qgnSE4","19449687","0x3bae3d3da5feb001:0x4e4827a8eecf79fd","19449687","gmaps_v2","zomato","Cafe Coffee Day","633","1699615207","Cafe Coffee Day","480","1688639100","[]","[dining, delivery]","cafecoffeeday","zomato_cafe_coffee_day"
"ChIJg3bVF-09rjsRozhTJiYrS8g","18892504","0x3bae3ded17d57683:0xc84b2b26265338a3","18892504","gmaps_v2","zomato","Chai Point - Orion Mall","183","1699615207","Chai Point","314","1688639100","[]","[dining, delivery]","chaipoint","zomato_chai_point"
"ChIJbVs8CNA9rjsRLGTel5n5FWk","19487952","0x3bae3dd0083c5b6d:0x6915f99997de642c","19487952","gmaps_v2","zomato","DOSE MANE","268","1699615207","Dose Mane","137","1688639100","[]","[dining, delivery]",,"N_A"
"ChIJyUvDu68XrjsREIYDxjUGIag","19016086","0x3bae17afbbc34bc9:0xa8210635c6038610","19016086","gmaps_v2","zomato","Kenzai","541","1699615207","Kenzai","785","1688639100","[]","[dining, delivery]",,"N_A"
